entry_dt,exit_dt,symbols,holding_days,pnl_approx,rolled
2020-01-16,2020-03-31,"I2005.DCE,I2009.DCE",47,445450.0,True
2020-03-31,2020-08-11,"I2009.DCE,I2101.DCE",89,626400.0,True
2020-08-11,2020-12-07,"I2101.DCE,I2105.DCE",78,-71400.0,True
2020-12-07,2021-04-01,"I2105.DCE,I2109.DCE",77,757550.0,False
2021-07-09,2021-08-05,"I2109.DCE,I2201.DCE",19,-46750.0,False
2021-09-02,2021-12-01,"I2201.DCE,I2205.DCE",57,-819150.0,True
2021-12-01,2022-03-29,"I2205.DCE,I2209.DCE",78,0.0,True
2022-03-29,2022-08-08,"I2209.DCE,I2301.DCE",88,304750.0,True
2022-08-08,2022-12-06,"I2301.DCE,I2305.DCE",80,-47250.0,True
2022-12-06,2023-04-06,"I2305.DCE,I2309.DCE",80,704000.0,True
2023-04-06,2023-08-04,"I2309.DCE,I2401.DCE",81,630000.0,True
2023-08-04,2023-12-08,"I2401.DCE,I2405.DCE",84,383600.0,True
2023-12-08,2024-03-28,"I2405.DCE,I2409.DCE",72,-211150.0,True
2024-03-28,2024-07-31,"I2409.DCE,I2501.DCE",83,-170300.0,True
2024-07-31,2024-12-11,"I2501.DCE,I2505.DCE",88,-46550.0,True
2024-12-11,2025-04-03,"I2505.DCE,I2509.DCE",74,235600.0,True
2025-04-03,2025-06-12,"I2509.DCE,I2601.DCE",45,147400.0,False
2025-07-10,2025-08-11,"I2509.DCE,I2601.DCE",22,-266500.0,True
2025-08-11,2025-09-29,"I2601.DCE,I2605.DCE",35,6300.0,False
2025-10-14,2025-12-01,"I2601.DCE,I2605.DCE",34,31750.0,False
2025-12-05,2026-01-06,"I2605.DCE,I2609.DCE",20,-52000.0,False
2026-01-07,2026-03-23,"I2605.DCE,I2609.DCE",47,108000.0,False
2026-03-25,2026-04-07,"I2605.DCE,I2609.DCE",8,-73800.0,False
