datetime,vt_symbol,prev_pos,curr_pos,change,direction,price
2020-01-16,I2005.DCE,0,151,151,BUY,658.5
2020-01-16,I2009.DCE,0,-151,-151,SELL,612.0
2020-03-31,I2005.DCE,151,0,-151,SELL,650.5
2020-03-31,I2009.DCE,-151,174,325,BUY,574.5
2020-03-31,I2101.DCE,0,-174,-174,SELL,544.0
2020-08-11,I2009.DCE,174,0,-174,SELL,900.5
2020-08-11,I2101.DCE,-174,119,293,BUY,834.0
2020-08-11,I2105.DCE,0,-119,-119,SELL,774.0
2020-12-07,I2101.DCE,119,0,-119,SELL,967.5
2020-12-07,I2105.DCE,-119,109,228,BUY,913.5
2020-12-07,I2109.DCE,0,-109,-109,SELL,854.5
2021-04-01,I2105.DCE,109,0,-109,SELL,1104.0
2021-04-01,I2109.DCE,-109,0,109,BUY,975.5
2021-07-09,I2109.DCE,0,85,85,BUY,1163.0
2021-07-09,I2201.DCE,0,-85,-85,SELL,1039.0
2021-08-05,I2109.DCE,85,0,-85,SELL,1007.0
2021-08-05,I2201.DCE,-85,0,85,BUY,888.5
2021-09-02,I2201.DCE,0,129,129,BUY,773.5
2021-09-02,I2205.DCE,0,-129,-129,SELL,719.5
2021-12-01,I2201.DCE,129,0,-129,SELL,624.0
2021-12-01,I2205.DCE,-129,157,286,BUY,633.5
2021-12-01,I2209.DCE,0,-157,-157,SELL,622.0
2022-03-29,I2205.DCE,157,0,-157,SELL,879.0
2022-03-29,I2209.DCE,-157,115,272,BUY,867.5
2022-03-29,I2301.DCE,0,-115,-115,SELL,835.0
2022-08-08,I2209.DCE,115,0,-115,SELL,796.5
2022-08-08,I2301.DCE,-115,135,250,BUY,737.5
2022-08-08,I2305.DCE,0,-135,-135,SELL,718.5
2022-12-06,I2301.DCE,135,0,-135,SELL,795.5
2022-12-06,I2305.DCE,-135,128,263,BUY,780.0
2022-12-06,I2309.DCE,0,-128,-128,SELL,752.5
2023-04-06,I2305.DCE,128,0,-128,SELL,875.5
2023-04-06,I2309.DCE,-128,126,254,BUY,793.0
2023-04-06,I2401.DCE,0,-126,-126,SELL,751.0
2023-08-04,I2309.DCE,126,0,-126,SELL,817.5
2023-08-04,I2401.DCE,-126,137,263,BUY,725.5
2023-08-04,I2405.DCE,0,-137,-137,SELL,703.5
2023-12-08,I2401.DCE,137,0,-137,SELL,1013.5
2023-12-08,I2405.DCE,-137,103,240,BUY,963.5
2023-12-08,I2409.DCE,0,-103,-103,SELL,904.0
2024-03-28,I2405.DCE,103,0,-103,SELL,797.0
2024-03-28,I2409.DCE,-103,131,234,BUY,758.0
2024-03-28,I2501.DCE,0,-131,-131,SELL,726.0
2024-07-31,I2409.DCE,131,0,-131,SELL,768.0
2024-07-31,I2501.DCE,-131,133,264,BUY,749.0
2024-07-31,I2505.DCE,0,-133,-133,SELL,738.0
2024-12-11,I2501.DCE,133,0,-133,SELL,809.5
2024-12-11,I2505.DCE,-133,124,257,BUY,802.0
2024-12-11,I2509.DCE,0,-124,-124,SELL,776.0
2025-04-03,I2505.DCE,124,0,-124,SELL,788.5
2025-04-03,I2509.DCE,-124,134,258,BUY,743.5
2025-04-03,I2601.DCE,0,-134,-134,SELL,721.5
2025-06-12,I2509.DCE,134,0,-134,SELL,704.0
2025-06-12,I2601.DCE,-134,0,134,BUY,671.0
2025-07-10,I2509.DCE,0,130,130,BUY,763.5
2025-07-10,I2601.DCE,0,-130,-130,SELL,735.5
2025-08-11,I2509.DCE,130,0,-130,SELL,796.5
2025-08-11,I2601.DCE,-130,126,256,BUY,789.0
2025-08-11,I2605.DCE,0,-126,-126,SELL,768.0
2025-09-29,I2601.DCE,126,0,-126,SELL,784.0
2025-09-29,I2605.DCE,-126,0,126,BUY,762.5
2025-10-14,I2601.DCE,0,127,127,BUY,782.0
2025-10-14,I2605.DCE,0,-127,-127,SELL,761.0
2025-12-01,I2601.DCE,127,0,-127,SELL,801.0
2025-12-01,I2605.DCE,-127,0,127,BUY,777.5
2025-12-05,I2605.DCE,0,130,130,BUY,769.0
2025-12-05,I2609.DCE,0,-130,-130,SELL,744.0
2026-01-06,I2605.DCE,130,0,-130,SELL,801.0
2026-01-06,I2609.DCE,-130,0,130,BUY,780.0
2026-01-07,I2605.DCE,0,120,120,BUY,828.0
2026-01-07,I2609.DCE,0,-120,-120,SELL,804.5
2026-03-23,I2605.DCE,120,0,-120,SELL,819.0
2026-03-23,I2609.DCE,-120,0,120,BUY,786.5
2026-03-25,I2605.DCE,0,123,123,BUY,806.5
2026-03-25,I2609.DCE,0,-123,-123,SELL,777.5
2026-04-07,I2605.DCE,123,0,-123,SELL,797.5
2026-04-07,I2609.DCE,-123,0,123,BUY,774.5
