entry_dt,exit_dt,symbols,holding_days,pnl_approx,rolled
2020-02-03,2020-04-07,"JM2005.DCE,JM2009.DCE",45,860520.0,True
2020-04-07,2020-08-07,"JM2009.DCE,JM2101.DCE",83,-417690.0,False
2020-08-13,2020-08-18,"JM2009.DCE,JM2101.DCE",3,-42000.0,False
2020-08-20,2020-08-21,"JM2009.DCE,JM2101.DCE",1,41100.0,True
2020-08-21,2020-09-07,"JM2101.DCE,JM2105.DCE",11,91740.0,False
2020-12-17,2021-02-02,"JM2105.DCE,JM2109.DCE",32,-165360.0,False
2021-08-06,2021-08-12,"JM2109.DCE,JM2201.DCE",4,-478800.0,False
2021-08-27,2021-12-03,"JM2201.DCE,JM2205.DCE",63,-693000.0,True
2021-12-03,2022-04-19,"JM2205.DCE,JM2209.DCE",89,-97110.0,True
2022-04-19,2022-08-18,"JM2209.DCE,JM2301.DCE",83,323400.0,True
2022-08-18,2022-12-06,"JM2301.DCE,JM2305.DCE",72,731280.0,True
2022-12-06,2023-04-13,"JM2305.DCE,JM2309.DCE",85,557520.0,True
2023-04-13,2023-08-11,"JM2309.DCE,JM2401.DCE",81,42120.0,True
2023-08-11,2023-12-07,"JM2401.DCE,JM2405.DCE",78,-223020.0,True
2023-12-07,2024-04-10,"JM2405.DCE,JM2409.DCE",80,-874800.0,True
2024-04-10,2024-08-16,"JM2409.DCE,JM2501.DCE",88,-86520.0,True
2024-08-16,2024-12-18,"JM2501.DCE,JM2505.DCE",81,-569160.0,True
2024-12-18,2025-04-15,"JM2505.DCE,JM2509.DCE",76,-88830.0,True
2025-04-15,2025-07-31,"JM2509.DCE,JM2601.DCE",73,-359970.0,True
2025-07-31,2025-12-05,"JM2601.DCE,JM2605.DCE",85,-486180.0,True
2025-12-05,2026-04-16,"JM2605.DCE,JM2609.DCE",85,-705180.0,False
