datetime,vt_symbol,prev_pos,curr_pos,change,direction,price
2020-02-03,JM2005.DCE,0,142,142,BUY,1168.5
2020-02-03,JM2009.DCE,0,-142,-142,SELL,1138.0
2020-04-07,JM2005.DCE,142,0,-142,SELL,1219.5
2020-04-07,JM2009.DCE,-142,153,295,BUY,1088.0
2020-04-07,JM2101.DCE,0,-153,-153,SELL,1053.0
2020-08-07,JM2009.DCE,153,0,-153,SELL,1216.5
2020-08-07,JM2101.DCE,-153,0,153,BUY,1227.0
2020-08-13,JM2009.DCE,0,140,140,BUY,1185.5
2020-08-13,JM2101.DCE,0,-140,-140,SELL,1200.0
2020-08-18,JM2009.DCE,140,0,-140,SELL,1204.5
2020-08-18,JM2101.DCE,-140,0,140,BUY,1224.0
2020-08-20,JM2009.DCE,0,137,137,BUY,1214.5
2020-08-20,JM2101.DCE,0,-137,-137,SELL,1200.5
2020-08-21,JM2009.DCE,137,0,-137,SELL,1217.5
2020-08-21,JM2101.DCE,-137,139,276,BUY,1198.5
2020-08-21,JM2105.DCE,0,-139,-139,SELL,1163.5
2020-09-07,JM2101.DCE,139,0,-139,SELL,1286.0
2020-09-07,JM2105.DCE,-139,0,139,BUY,1240.0
2020-12-17,JM2105.DCE,0,106,106,BUY,1567.5
2020-12-17,JM2109.DCE,0,-106,-106,SELL,1491.5
2021-02-02,JM2105.DCE,106,0,-106,SELL,1465.5
2021-02-02,JM2109.DCE,-106,0,106,BUY,1415.5
2021-08-06,JM2109.DCE,0,70,70,BUY,2374.5
2021-08-06,JM2201.DCE,0,-70,-70,SELL,2094.5
2021-08-12,JM2109.DCE,70,0,-70,SELL,2371.5
2021-08-12,JM2201.DCE,-70,0,70,BUY,2205.5
2021-08-27,JM2201.DCE,0,66,66,BUY,2523.0
2021-08-27,JM2205.DCE,0,-66,-66,SELL,2249.0
2021-12-03,JM2201.DCE,66,0,-66,SELL,2085.0
2021-12-03,JM2205.DCE,-66,83,149,BUY,1986.0
2021-12-03,JM2209.DCE,0,-83,-83,SELL,1912.0
2022-04-19,JM2205.DCE,83,0,-83,SELL,3069.5
2022-04-19,JM2209.DCE,-83,55,138,BUY,3015.0
2022-04-19,JM2301.DCE,0,-55,-55,SELL,2874.5
2022-08-18,JM2209.DCE,55,0,-55,SELL,2127.0
2022-08-18,JM2301.DCE,-55,88,143,BUY,1888.5
2022-08-18,JM2305.DCE,0,-88,-88,SELL,1660.0
2022-12-06,JM2301.DCE,88,0,-88,SELL,2176.0
2022-12-06,JM2305.DCE,-88,92,180,BUY,1809.0
2022-12-06,JM2309.DCE,0,-92,-92,SELL,1722.0
2023-04-13,JM2305.DCE,92,0,-92,SELL,1726.0
2023-04-13,JM2309.DCE,-92,108,200,BUY,1538.0
2023-04-13,JM2401.DCE,0,-108,-108,SELL,1470.0
2023-08-11,JM2309.DCE,108,0,-108,SELL,1483.5
2023-08-11,JM2401.DCE,-108,118,226,BUY,1409.0
2023-08-11,JM2405.DCE,0,-118,-118,SELL,1350.5
2023-12-07,JM2401.DCE,118,0,-118,SELL,2064.0
2023-12-07,JM2405.DCE,-118,81,199,BUY,2037.0
2023-12-07,JM2409.DCE,0,-81,-81,SELL,1953.0
2024-04-10,JM2405.DCE,81,0,-81,SELL,1507.5
2024-04-10,JM2409.DCE,-81,103,184,BUY,1603.5
2024-04-10,JM2501.DCE,0,-103,-103,SELL,1588.5
2024-08-16,JM2409.DCE,103,0,-103,SELL,1343.5
2024-08-16,JM2501.DCE,-103,124,227,BUY,1342.5
2024-08-16,JM2505.DCE,0,-124,-124,SELL,1325.0
2024-12-18,JM2501.DCE,124,0,-124,SELL,1115.0
2024-12-18,JM2505.DCE,-124,141,265,BUY,1174.0
2024-12-18,JM2509.DCE,0,-141,-141,SELL,1241.0
2025-04-15,JM2505.DCE,141,0,-141,SELL,908.0
2025-04-15,JM2509.DCE,-141,169,310,BUY,985.5
2025-04-15,JM2601.DCE,0,-169,-169,SELL,1039.5
2025-07-31,JM2509.DCE,169,0,-169,SELL,1045.5
2025-07-31,JM2601.DCE,-169,146,315,BUY,1135.0
2025-07-31,JM2605.DCE,0,-146,-146,SELL,1163.5
2025-12-05,JM2601.DCE,146,0,-146,SELL,1056.0
2025-12-05,JM2605.DCE,-146,146,292,BUY,1140.0
2025-12-05,JM2609.DCE,0,-146,-146,SELL,1204.5
2026-04-16,JM2605.DCE,146,0,-146,SELL,1103.0
2026-04-16,JM2609.DCE,-146,0,146,BUY,1248.0
