entry_dt,exit_dt,symbols,holding_days,pnl_approx,rolled
2020-01-16,2020-03-30,"P2005.DCE,P2009.DCE",46,-309700.0,True
2020-03-30,2020-08-11,"P2009.DCE,P2101.DCE",90,565800.0,True
2020-08-11,2020-12-09,"P2101.DCE,P2105.DCE",80,576380.0,True
2020-12-09,2021-04-09,"P2105.DCE,P2109.DCE",80,464720.0,False
2021-05-11,2021-08-16,"P2109.DCE,P2201.DCE",68,250000.0,False
2021-08-17,2021-12-09,"P2201.DCE,P2205.DCE",75,892080.0,False
2021-12-24,2022-01-27,"P2205.DCE,P2209.DCE",23,264180.0,False
2022-02-07,2022-02-16,"P2205.DCE,P2209.DCE",7,129360.0,False
2022-04-12,2022-08-16,"P2209.DCE,P2301.DCE",86,-240640.0,False
2022-09-07,2022-12-09,"P2301.DCE,P2305.DCE",61,-112640.0,False
2023-03-14,2023-04-13,"P2305.DCE,P2309.DCE",21,495360.0,False
2023-06-01,2023-08-09,"P2309.DCE,P2401.DCE",47,87360.0,True
2023-08-09,2023-12-11,"P2401.DCE,P2405.DCE",82,-280800.0,True
2023-12-11,2024-01-09,"P2405.DCE,P2409.DCE",20,74520.0,False
2024-01-10,2024-03-06,"P2405.DCE,P2409.DCE",34,336720.0,False
2024-03-15,2024-04-09,"P2405.DCE,P2409.DCE",15,-290280.0,True
2024-04-09,2024-08-08,"P2409.DCE,P2501.DCE",83,-113400.0,True
2024-08-08,2024-12-10,"P2501.DCE,P2505.DCE",81,790600.0,True
2024-12-10,2025-04-10,"P2505.DCE,P2509.DCE",79,-207580.0,True
2025-04-10,2025-07-14,"P2509.DCE,P2601.DCE",63,-48800.0,False
2025-08-05,2025-08-13,"P2509.DCE,P2601.DCE",6,-94600.0,True
2025-08-13,2025-09-08,"P2601.DCE,P2605.DCE",18,-113400.0,False
2025-09-10,2025-11-06,"P2601.DCE,P2605.DCE",35,-291600.0,False
2025-11-20,2025-12-08,"P2601.DCE,P2605.DCE",12,149500.0,True
2025-12-08,2025-12-19,"P2605.DCE,P2609.DCE",9,-79800.0,False
2025-12-22,2025-12-24,"P2605.DCE,P2609.DCE",2,9440.0,False
2025-12-30,2026-01-06,"P2605.DCE,P2609.DCE",3,-6900.0,False
2026-01-07,2026-01-08,"P2605.DCE,P2609.DCE",1,2320.0,False
2026-01-26,2026-04-02,"P2605.DCE,P2609.DCE",42,-82840.0,False
