datetime,vt_symbol,prev_pos,curr_pos,change,direction,price
2020-01-16,P2005.DCE,0,163,163,BUY,6104.0
2020-01-16,P2009.DCE,0,-163,-163,SELL,5796.0
2020-03-30,P2005.DCE,163,0,-163,SELL,4990.0
2020-03-30,P2009.DCE,-163,205,368,BUY,4872.0
2020-03-30,P2101.DCE,0,-205,-205,SELL,4922.0
2020-08-11,P2009.DCE,205,0,-205,SELL,5788.0
2020-08-11,P2101.DCE,-205,179,384,BUY,5562.0
2020-08-11,P2105.DCE,0,-179,-179,SELL,5502.0
2020-12-09,P2101.DCE,179,0,-179,SELL,6738.0
2020-12-09,P2105.DCE,-179,157,336,BUY,6356.0
2020-12-09,P2109.DCE,0,-157,-157,SELL,5962.0
2021-04-09,P2105.DCE,157,0,-157,SELL,7572.0
2021-04-09,P2109.DCE,-157,0,157,BUY,6882.0
2021-05-11,P2109.DCE,0,125,125,BUY,7998.0
2021-05-11,P2201.DCE,0,-125,-125,SELL,7616.0
2021-08-16,P2109.DCE,125,0,-125,SELL,8880.0
2021-08-16,P2201.DCE,-125,0,125,BUY,8298.0
2021-08-17,P2201.DCE,0,118,118,BUY,8418.0
2021-08-17,P2205.DCE,0,-118,-118,SELL,8024.0
2021-12-09,P2201.DCE,118,0,-118,SELL,9270.0
2021-12-09,P2205.DCE,-118,0,118,BUY,8120.0
2021-12-24,P2205.DCE,0,119,119,BUY,8390.0
2021-12-24,P2209.DCE,0,-119,-119,SELL,7744.0
2022-01-27,P2205.DCE,119,0,-119,SELL,9752.0
2022-01-27,P2209.DCE,-119,0,119,BUY,8884.0
2022-02-07,P2205.DCE,0,98,98,BUY,10162.0
2022-02-07,P2209.DCE,0,-98,-98,SELL,9308.0
2022-02-16,P2205.DCE,98,0,-98,SELL,10182.0
2022-02-16,P2209.DCE,-98,0,98,BUY,9196.0
2022-04-12,P2209.DCE,0,94,94,BUY,10638.0
2022-04-12,P2301.DCE,0,-94,-94,SELL,10196.0
2022-08-16,P2209.DCE,94,0,-94,SELL,8650.0
2022-08-16,P2301.DCE,-94,0,94,BUY,8464.0
2022-09-07,P2301.DCE,0,128,128,BUY,7774.0
2022-09-07,P2305.DCE,0,-128,-128,SELL,7812.0
2022-12-09,P2301.DCE,128,0,-128,SELL,7966.0
2022-12-09,P2305.DCE,-128,0,128,BUY,8092.0
2023-03-14,P2305.DCE,0,129,129,BUY,7738.0
2023-03-14,P2309.DCE,0,-129,-129,SELL,7590.0
2023-04-13,P2305.DCE,129,0,-129,SELL,7648.0
2023-04-13,P2309.DCE,-129,0,129,BUY,7116.0
2023-06-01,P2309.DCE,0,156,156,BUY,6404.0
2023-06-01,P2401.DCE,0,-156,-156,SELL,6400.0
2023-08-09,P2309.DCE,156,0,-156,SELL,7448.0
2023-08-09,P2401.DCE,-156,135,291,BUY,7388.0
2023-08-09,P2405.DCE,0,-135,-135,SELL,7276.0
2023-12-11,P2401.DCE,135,0,-135,SELL,7116.0
2023-12-11,P2405.DCE,-135,138,273,BUY,7212.0
2023-12-11,P2409.DCE,0,-138,-138,SELL,7088.0
2024-01-09,P2405.DCE,138,0,-138,SELL,7054.0
2024-01-09,P2409.DCE,-138,0,138,BUY,6876.0
2024-01-10,P2405.DCE,0,138,138,BUY,7226.0
2024-01-10,P2409.DCE,0,-138,-138,SELL,7010.0
2024-03-06,P2405.DCE,138,0,-138,SELL,7662.0
2024-03-06,P2409.DCE,-138,0,138,BUY,7202.0
2024-03-15,P2405.DCE,0,123,123,BUY,8084.0
2024-03-15,P2409.DCE,0,-123,-123,SELL,7488.0
2024-04-09,P2405.DCE,123,0,-123,SELL,8236.0
2024-04-09,P2409.DCE,-123,126,249,BUY,7876.0
2024-04-09,P2501.DCE,0,-126,-126,SELL,7626.0
2024-08-08,P2409.DCE,126,0,-126,SELL,7596.0
2024-08-08,P2501.DCE,-126,134,260,BUY,7436.0
2024-08-08,P2505.DCE,0,-134,-134,SELL,7320.0
2024-12-10,P2501.DCE,134,0,-134,SELL,9998.0
2024-12-10,P2505.DCE,-134,107,241,BUY,9292.0
2024-12-10,P2509.DCE,0,-107,-107,SELL,8530.0
2025-04-10,P2505.DCE,107,0,-107,SELL,8754.0
2025-04-10,P2509.DCE,-107,122,229,BUY,8186.0
2025-04-10,P2601.DCE,0,-122,-122,SELL,8116.0
2025-07-14,P2509.DCE,122,0,-122,SELL,8748.0
2025-07-14,P2601.DCE,-122,0,122,BUY,8718.0
2025-08-05,P2509.DCE,0,110,110,BUY,9064.0
2025-08-05,P2601.DCE,0,-110,-110,SELL,9044.0
2025-08-13,P2509.DCE,110,0,-110,SELL,9424.0
2025-08-13,P2601.DCE,-110,105,215,BUY,9490.0
2025-08-13,P2605.DCE,0,-105,-105,SELL,9170.0
2025-09-08,P2601.DCE,105,0,-105,SELL,9466.0
