entry_dt,exit_dt,symbols,holding_days,pnl_approx,rolled
2020-01-16,2020-01-20,"RB2005.SHFE,RB2010.SHFE",2,14000.0,False
2020-01-23,2020-03-23,"RB2005.SHFE,RB2010.SHFE",36,-19950.0,True
2020-03-23,2020-05-12,"RB2010.SHFE,RB2101.SHFE",32,170800.0,False
2020-05-22,2020-05-26,"RB2010.SHFE,RB2101.SHFE",2,39900.0,False
2020-05-29,2020-06-17,"RB2010.SHFE,RB2101.SHFE",13,-69750.0,False
2020-06-29,2020-06-30,"RB2010.SHFE,RB2101.SHFE",1,-11240.0,False
2020-07-21,2020-07-22,"RB2010.SHFE,RB2101.SHFE",1,-29150.0,False
2020-07-24,2020-07-27,"RB2010.SHFE,RB2101.SHFE",1,-2660.0,False
2020-08-03,2020-08-05,"RB2010.SHFE,RB2101.SHFE",2,-2600.0,False
2020-10-09,2020-10-12,"RB2101.SHFE,RB2105.SHFE",1,11000.0,False
2020-12-03,2020-12-07,"RB2101.SHFE,RB2105.SHFE",2,-61920.0,False
2020-12-11,2021-04-02,"RB2105.SHFE,RB2110.SHFE",74,-165490.0,True
2021-04-02,2021-08-12,"RB2110.SHFE,RB2201.SHFE",89,-466050.0,True
2021-08-12,2021-11-18,"RB2201.SHFE,RB2205.SHFE",63,490440.0,True
2021-11-18,2022-03-25,"RB2205.SHFE,RB2210.SHFE",85,-126720.0,True
2022-03-25,2022-08-30,"RB2210.SHFE,RB2301.SHFE",106,156780.0,True
2022-08-30,2022-11-30,"RB2301.SHFE,RB2305.SHFE",60,-95550.0,True
2022-11-30,2023-02-10,"RB2305.SHFE,RB2310.SHFE",46,0.0,False
2023-02-13,2023-03-02,"RB2305.SHFE,RB2310.SHFE",13,20000.0,False
2023-03-06,2023-03-13,"RB2305.SHFE,RB2310.SHFE",5,125610.0,False
2023-03-16,2023-04-03,"RB2305.SHFE,RB2310.SHFE",12,-99540.0,True
2023-04-03,2023-05-08,"RB2310.SHFE,RB2401.SHFE",21,27280.0,False
2023-09-01,2023-09-06,"RB2401.SHFE,RB2405.SHFE",3,-55020.0,False
2024-01-03,2024-01-04,"RB2405.SHFE,RB2410.SHFE",1,-7380.0,False
2024-01-05,2024-01-08,"RB2405.SHFE,RB2410.SHFE",1,10040.0,False
2024-01-10,2024-01-11,"RB2405.SHFE,RB2410.SHFE",1,7710.0,False
2024-03-13,2024-04-01,"RB2405.SHFE,RB2410.SHFE",13,2790.0,True
2024-04-01,2024-05-08,"RB2410.SHFE,RB2501.SHFE",22,-82940.0,False
2024-11-27,2024-12-05,"RB2501.SHFE,RB2505.SHFE",6,6040.0,True
2024-12-05,2024-12-06,"RB2505.SHFE,RB2510.SHFE",1,5980.0,False
2025-07-22,2025-08-27,"RB2510.SHFE,RB2601.SHFE",26,-3020.0,False
