datetime,vt_symbol,prev_pos,curr_pos,change,direction,price
2020-01-16,RB2005.SHFE,0,280,280,BUY,3565.0
2020-01-16,RB2010.SHFE,0,-280,-280,SELL,3408.0
2020-01-20,RB2005.SHFE,280,0,-280,SELL,3605.0
2020-01-20,RB2010.SHFE,-280,0,280,BUY,3443.0
2020-01-23,RB2005.SHFE,0,285,285,BUY,3500.0
2020-01-23,RB2010.SHFE,0,-285,-285,SELL,3363.0
2020-03-23,RB2005.SHFE,285,0,-285,SELL,3400.0
2020-03-23,RB2010.SHFE,-285,305,590,BUY,3270.0
2020-03-23,RB2101.SHFE,0,-305,-305,SELL,3166.0
2020-05-12,RB2010.SHFE,305,0,-305,SELL,3464.0
2020-05-12,RB2101.SHFE,-305,0,305,BUY,3304.0
2020-05-22,RB2010.SHFE,0,285,285,BUY,3508.0
2020-05-22,RB2101.SHFE,0,-285,-285,SELL,3349.0
2020-05-26,RB2010.SHFE,285,0,-285,SELL,3493.0
2020-05-26,RB2101.SHFE,-285,0,285,BUY,3320.0
2020-05-29,RB2010.SHFE,0,279,279,BUY,3579.0
2020-05-29,RB2101.SHFE,0,-279,-279,SELL,3405.0
2020-06-17,RB2010.SHFE,279,0,-279,SELL,3585.0
2020-06-17,RB2101.SHFE,-279,0,279,BUY,3436.0
2020-06-29,RB2010.SHFE,0,281,281,BUY,3552.0
2020-06-29,RB2101.SHFE,0,-281,-281,SELL,3413.0
2020-06-30,RB2010.SHFE,281,0,-281,SELL,3565.0
2020-06-30,RB2101.SHFE,-281,0,281,BUY,3430.0
2020-07-21,RB2010.SHFE,0,265,265,BUY,3764.0
2020-07-21,RB2101.SHFE,0,-265,-265,SELL,3613.0
2020-07-22,RB2010.SHFE,265,0,-265,SELL,3782.0
2020-07-22,RB2101.SHFE,-265,0,265,BUY,3642.0
2020-07-24,RB2010.SHFE,0,266,266,BUY,3747.0
2020-07-24,RB2101.SHFE,0,-266,-266,SELL,3595.0
2020-07-27,RB2010.SHFE,266,0,-266,SELL,3723.0
2020-07-27,RB2101.SHFE,-266,0,266,BUY,3572.0
2020-08-03,RB2010.SHFE,0,260,260,BUY,3836.0
2020-08-03,RB2101.SHFE,0,-260,-260,SELL,3679.0
2020-08-05,RB2010.SHFE,260,0,-260,SELL,3832.0
2020-08-05,RB2101.SHFE,-260,0,260,BUY,3676.0
2020-10-09,RB2101.SHFE,0,275,275,BUY,3633.0
2020-10-09,RB2105.SHFE,0,-275,-275,SELL,3565.0
2020-10-12,RB2101.SHFE,275,0,-275,SELL,3637.0
2020-10-12,RB2105.SHFE,-275,0,275,BUY,3565.0
2020-12-03,RB2101.SHFE,0,258,258,BUY,3866.0
2020-12-03,RB2105.SHFE,0,-258,-258,SELL,3774.0
2020-12-07,RB2101.SHFE,258,0,-258,SELL,3980.0
2020-12-07,RB2105.SHFE,-258,0,258,BUY,3912.0
2020-12-11,RB2105.SHFE,0,247,247,BUY,4033.0
2020-12-11,RB2110.SHFE,0,-247,-247,SELL,3928.0
2021-04-02,RB2105.SHFE,247,0,-247,SELL,5157.0
2021-04-02,RB2110.SHFE,-247,195,442,BUY,5119.0
2021-04-02,RB2201.SHFE,0,-195,-195,SELL,4937.0
2021-08-12,RB2110.SHFE,195,0,-195,SELL,5385.0
2021-08-12,RB2201.SHFE,-195,183,378,BUY,5442.0
