entry_dt,exit_dt,symbols,holding_days,pnl_approx,rolled
2020-02-03,2020-03-03,"UR2005.CZCE,UR2009.CZCE",21,381780.0,False
2020-03-04,2020-04-10,"UR2005.CZCE,UR2009.CZCE",26,22000.0,True
2020-04-10,2020-05-22,"UR2009.CZCE,UR2101.CZCE",27,18960.0,False
2020-07-22,2020-08-06,"UR2009.CZCE,UR2101.CZCE",11,31000.0,True
2020-08-06,2020-12-14,"UR2101.CZCE,UR2105.CZCE",86,-149760.0,True
2020-12-14,2021-03-03,"UR2105.CZCE,UR2109.CZCE",51,-71760.0,True
2021-03-03,2021-04-19,"UR2105.CZCE,UR2107.CZCE",32,-288200.0,False
2021-05-28,2021-06-07,"UR2107.CZCE,UR2201.CZCE",6,-357520.0,True
2021-06-07,2021-08-13,"UR2109.CZCE,UR2201.CZCE",48,96140.0,True
2021-08-13,2021-12-20,"UR2201.CZCE,UR2205.CZCE",84,-217260.0,False
2022-01-18,2022-04-07,"UR2205.CZCE,UR2209.CZCE",50,-302480.0,False
2022-05-17,2022-08-05,"UR2209.CZCE,UR2301.CZCE",57,-171360.0,True
2022-08-05,2022-09-07,"UR2301.CZCE,UR2305.CZCE",23,248040.0,False
2022-12-15,2023-01-05,"UR2305.CZCE,UR2309.CZCE",14,-68040.0,False
2023-04-13,2023-07-03,"UR2309.CZCE,UR2401.CZCE",52,-19280.0,False
2023-08-08,2023-10-18,"UR2401.CZCE,UR2405.CZCE",45,484120.0,False
2023-11-15,2023-12-11,"UR2401.CZCE,UR2409.CZCE",18,-441000.0,True
2023-12-11,2024-04-01,"UR2405.CZCE,UR2409.CZCE",73,-205160.0,True
2024-04-01,2024-07-31,"UR2409.CZCE,UR2501.CZCE",81,15960.0,False
2024-08-14,2024-08-15,"UR2409.CZCE,UR2501.CZCE",1,-64480.0,True
2024-08-15,2024-11-15,"UR2501.CZCE,UR2505.CZCE",59,-681200.0,False
2024-11-19,2024-12-12,"UR2501.CZCE,UR2505.CZCE",17,82500.0,True
2024-12-12,2025-03-18,"UR2505.CZCE,UR2509.CZCE",61,-172360.0,False
2025-03-20,2025-04-16,"UR2505.CZCE,UR2509.CZCE",18,351000.0,True
2025-04-16,2025-06-03,"UR2509.CZCE,UR2601.CZCE",30,163560.0,False
2025-06-16,2025-07-18,"UR2509.CZCE,UR2601.CZCE",24,-87000.0,False
2025-07-21,2025-08-12,"UR2509.CZCE,UR2601.CZCE",16,-335500.0,True
2025-08-12,2025-09-16,"UR2601.CZCE,UR2605.CZCE",25,-62480.0,False
2025-10-09,2025-10-21,"UR2601.CZCE,UR2605.CZCE",8,-31000.0,False
2025-10-22,2025-11-06,"UR2601.CZCE,UR2605.CZCE",11,-80080.0,False
2025-12-17,2025-12-30,"UR2605.CZCE,UR2609.CZCE",9,249480.0,False
2026-01-05,2026-01-06,"UR2605.CZCE,UR2609.CZCE",1,-28200.0,False
