datetime,vt_symbol,prev_pos,curr_pos,change,direction,price
2020-02-03,UR2005.CZCE,0,303,303,BUY,1650.0
2020-02-03,UR2009.CZCE,0,-303,-303,SELL,1646.0
2020-03-03,UR2005.CZCE,303,0,-303,SELL,1777.0
2020-03-03,UR2009.CZCE,-303,0,303,BUY,1710.0
2020-03-04,UR2005.CZCE,0,275,275,BUY,1816.0
2020-03-04,UR2009.CZCE,0,-275,-275,SELL,1721.0
2020-04-10,UR2005.CZCE,275,0,-275,SELL,1681.0
2020-04-10,UR2009.CZCE,-275,316,591,BUY,1582.0
2020-04-10,UR2101.CZCE,0,-316,-316,SELL,1564.0
2020-05-22,UR2009.CZCE,316,0,-316,SELL,1532.0
2020-05-22,UR2101.CZCE,-316,0,316,BUY,1511.0
2020-07-22,UR2009.CZCE,0,310,310,BUY,1611.0
2020-07-22,UR2101.CZCE,0,-310,-310,SELL,1582.0
2020-08-06,UR2009.CZCE,310,0,-310,SELL,1766.0
2020-08-06,UR2101.CZCE,-310,288,598,BUY,1732.0
2020-08-06,UR2105.CZCE,0,-288,-288,SELL,1741.0
2020-12-14,UR2101.CZCE,288,0,-288,SELL,1775.0
2020-12-14,UR2105.CZCE,-288,276,564,BUY,1810.0
2020-12-14,UR2109.CZCE,0,-276,-276,SELL,1685.0
2021-03-03,UR2105.CZCE,276,262,-14,SELL,1907.0
2021-03-03,UR2107.CZCE,0,-262,-262,SELL,1803.0
2021-03-03,UR2109.CZCE,-276,0,276,BUY,1795.0
2021-04-19,UR2105.CZCE,262,0,-262,SELL,2061.0
2021-04-19,UR2107.CZCE,-262,0,262,BUY,2012.0
2021-05-28,UR2107.CZCE,0,218,218,BUY,2292.0
2021-05-28,UR2201.CZCE,0,-218,-218,SELL,2080.0
2021-06-07,UR2107.CZCE,218,0,-218,SELL,2417.0
2021-06-07,UR2109.CZCE,0,209,209,BUY,2383.0
2021-06-07,UR2201.CZCE,-218,-209,9,BUY,2287.0
2021-08-13,UR2109.CZCE,209,0,-209,SELL,2456.0
2021-08-13,UR2201.CZCE,-209,213,422,BUY,2337.0
2021-08-13,UR2205.CZCE,0,-213,-213,SELL,2260.0
2021-12-20,UR2201.CZCE,213,0,-213,SELL,2350.0
2021-12-20,UR2205.CZCE,-213,0,213,BUY,2324.0
2022-01-18,UR2205.CZCE,0,199,199,BUY,2510.0
2022-01-18,UR2209.CZCE,0,-199,-199,SELL,2390.0
2022-04-07,UR2205.CZCE,199,0,-199,SELL,2744.0
2022-04-07,UR2209.CZCE,-199,0,199,BUY,2700.0
2022-05-17,UR2209.CZCE,0,168,168,BUY,2961.0
