datetime,balance,drawdown,ddpercent
2022-07-25,10000000.0,0.0,0.0
2022-07-26,9995130.752,-4869.247999999672,-0.0004869247999999672
2022-07-27,9994010.752,-5989.247999999672,-0.0005989247999999672
2022-07-28,9991530.752,-8469.247999999672,-0.0008469247999999672
2022-07-29,9990410.752,-9589.247999999672,-0.0009589247999999672
2022-08-01,9993210.752,-6789.247999999672,-0.0006789247999999672
2022-08-02,9977357.24,-22642.759999999776,-0.002264275999999978
2022-08-03,9980317.24,-19682.759999999776,-0.0019682759999999776
2022-08-04,9982632.792,-17367.208000000566,-0.0017367208000000566
2022-08-05,9981588.808,-18411.191999999806,-0.0018411191999999806
2022-08-08,9982788.808,-17211.191999999806,-0.0017211191999999807
2022-08-09,9983588.808,-16411.191999999806,-0.0016411191999999807
2022-08-10,9982948.808,-17051.191999999806,-0.0017051191999999807
2022-08-11,9983988.808,-16011.191999999806,-0.0016011191999999806
2022-08-12,9983588.808,-16411.191999999806,-0.0016411191999999807
2022-08-15,9982628.808,-17371.191999999806,-0.0017371191999999806
2022-08-16,9982308.808,-17691.191999999806,-0.0017691191999999805
2022-08-17,9982525.424,-17474.57599999942,-0.0017474575999999419
2022-08-18,9979965.423999999,-20034.57600000128,-0.0020034576000001283
2022-08-19,9979145.875999998,-20854.1240000017,-0.0020854124000001697
2022-08-22,9980017.756,-19982.24400000088,-0.001998224400000088
2022-08-23,9982497.756,-17502.24400000088,-0.0017502244000000878
2022-08-24,9983537.756,-16462.24400000088,-0.001646224400000088
2022-08-25,9983617.756,-16382.24400000088,-0.001638224400000088
2022-08-26,9982377.756,-17622.24400000088,-0.001762224400000088
2022-08-29,9982777.756,-17222.24400000088,-0.001722224400000088
2022-08-30,9984417.756,-15582.24400000088,-0.001558224400000088
2022-08-31,9978897.756,-21102.24400000088,-0.002110224400000088
2022-09-01,9979217.756,-20782.24400000088,-0.002078224400000088
2022-09-02,9977697.756,-22302.24400000088,-0.002230224400000088
2022-09-05,9976297.756,-23702.24400000088,-0.002370224400000088
2022-09-06,9975417.756,-24582.24400000088,-0.002458224400000088
2022-09-07,9976337.756,-23662.24400000088,-0.002366224400000088
2022-09-08,9979537.756,-20462.24400000088,-0.002046224400000088
2022-09-09,9972697.756,-27302.24400000088,-0.002730224400000088
2022-09-13,9971657.756,-28342.24400000088,-0.002834224400000088
2022-09-14,9968683.66,-31316.33999999985,-0.003131633999999985
2022-09-15,9976603.659999998,-23396.340000001714,-0.0023396340000001715
2022-09-16,10002322.088,0.0,0.0
2022-09-19,10010227.168,0.0,0.0
2022-09-20,10007314.284,-2912.8839999996126,-0.00029099079882136125
2022-09-21,10008314.284,-1912.8839999996126,-0.0001910929660132577
2022-09-22,10000994.284,-9232.883999999613,-0.0009223451021685758
2022-09-23,9996394.283999998,-13832.884000001475,-0.0013818751330860384
2022-09-26,9993394.284,-16832.883999999613,-0.0016815686315101628
2022-09-27,9993434.284,-16792.883999999613,-0.0016775727181978387
2022-09-28,9986034.284,-24192.883999999613,-0.002416816680977805
2022-09-29,9983834.283999998,-26392.884000001475,-0.002636591913155819
2022-09-30,9984314.284,-25912.883999999613,-0.002588640953407743
2022-10-10,9987794.284,-22432.883999999613,-0.002240996495235543
2022-10-11,9985714.283999998,-24512.884000001475,-0.0024487839874765844
2022-10-12,9988274.283999998,-21952.884000001475,-0.002193045535487839
2022-10-13,9987554.284,-22672.883999999613,-0.0022649719751094877
2022-10-14,9988554.283999998,-21672.884000001475,-0.00216507414230157
2022-10-17,9984534.515999999,-25692.6520000007,-0.0025666402538928575
2022-10-18,9990214.515999999,-20012.6520000007,-0.0019992205635428295
2022-10-19,9989254.515999999,-20972.6520000007,-0.0020951224830386087
2022-10-20,9987863.588,-22363.580000000075,-0.002234073175830656
2022-10-21,9987863.588,-22363.580000000075,-0.002234073175830656
2022-10-24,9987863.588,-22363.580000000075,-0.002234073175830656
2022-10-25,9980798.668,-29428.5,-0.0029398433727932756
2022-10-26,9978718.668,-31508.5,-0.0031476308650341314
2022-10-27,9976878.668,-33348.5,-0.0033314428774010416
2022-10-28,9974878.668,-35348.5,-0.0035312385430172487
2022-10-31,9979198.668,-31028.5,-0.0030996799052862415
2022-11-01,9979278.668,-30948.5,-0.0030916880786615933
2022-11-02,9976318.668,-33908.5,-0.0033873856637735796
2022-11-03,9976958.668,-33268.5,-0.0033234510507763933
2022-11-04,9976398.668,-33828.5,-0.0033793938371489314
2022-11-07,9974638.668,-35588.5,-0.003555214022891194
2022-11-08,9975198.668,-35028.5,-0.0034992712365186558
2022-11-09,9970068.899999999,-40158.26800000109,-0.004011723942527124
2022-11-10,9966628.899999999,-43598.26800000109,-0.004355372487387
2022-11-11,9964148.899999999,-46078.26800000109,-0.004603119112751098
2022-11-14,9972096.972,-38130.19600000046,-0.0038091239449482657
2022-11-15,9974129.891999999,-36097.27600000054,-0.003606039642676023
2022-11-16,9971590.467999998,-38636.70000000112,-0.0038597225968569665
2022-11-17,9967379.763999999,-42847.40400000103,-0.004280362801053371
2022-11-18,9957439.384,-52787.783999999985,-0.005273385220342283
2022-11-21,9954639.384,-55587.783999999985,-0.005553099152204973
2022-11-22,9962599.384,-47627.783999999985,-0.0047579124030524686
2022-11-23,9962639.384,-47587.783999999985,-0.004753916489740145
2022-11-24,9965559.384,-44667.783999999985,-0.004462214817940482
2022-11-25,9962639.384,-47587.783999999985,-0.004753916489740145
2022-11-28,9963359.384,-46867.783999999985,-0.00468199005011831
2022-11-29,9959999.384,-50227.783999999985,-0.005017646768353538
2022-11-30,9967279.384,-42947.783999999985,-0.004290390545510544
2022-12-01,9959599.384,-50627.783999999985,-0.005057605901476779
2022-12-02,9955479.384,-54747.783999999985,-0.005469184972646166
2022-12-05,9963959.384,-46267.783999999985,-0.004622051350433447
2022-12-06,9965679.384,-44547.783999999985,-0.004450227078003509
2022-12-07,9963839.384,-46387.783999999985,-0.00463403909037042
2022-12-08,9968079.384,-42147.783999999985,-0.004210472279264061
2022-12-09,9970959.384,-39267.783999999985,-0.003922766520776722
2022-12-12,9962839.384,-47387.783999999985,-0.004733936923178523
2022-12-13,9959519.384,-50707.783999999985,-0.005065597728101428
2022-12-14,9954783.136,-55444.03199999966,-0.00553873863894311
2022-12-15,9951423.136,-58804.03199999966,-0.005874395357178337
2022-12-16,9947349.435999999,-62877.732000000775,-0.006281349158688821
2022-12-19,9947349.435999999,-62877.732000000775,-0.006281349158688821
2022-12-20,9944130.076,-66097.09200000018,-0.006602956245717858
2022-12-21,9942303.212,-67923.95600000024,-0.0067854560001530066
2022-12-22,9938598.7,-71628.46800000034,-0.007155528720564631
2022-12-23,9940438.7,-69788.46800000034,-0.00697171670819772
2022-12-26,9936438.7,-73788.46800000034,-0.0073713080394301345
2022-12-27,9939078.7,-71148.46800000034,-0.007107577760816741
2022-12-28,9936838.7,-73388.46800000034,-0.007331348906306893
2022-12-29,9937398.7,-72828.46800000034,-0.007275406119934355
2022-12-30,9940158.7,-70068.46800000034,-0.006999688101383989
2023-01-03,9945558.7,-64668.46800000034,-0.00646023980422023
2023-01-04,9948758.7,-61468.46800000034,-0.006140566739234298
2023-01-05,9951518.7,-58708.46800000034,-0.005864848720683932
2023-01-06,9949478.7,-60748.46800000034,-0.0060686402996124635
2023-01-09,9944519.052,-65708.11600000039,-0.0065640983863035135
2023-01-10,9940639.571999999,-69587.59600000083,-0.00695165003072594
2023-01-11,9941838.931999998,-68388.23600000143,-0.006831836565969272
2023-01-12,9940394.455999998,-69832.71200000122,-0.006976136587912569
2023-01-13,9940394.455999998,-69832.71200000122,-0.006976136587912569
2023-01-16,9940394.455999998,-69832.71200000122,-0.006976136587912569
2023-01-17,9940394.455999998,-69832.71200000122,-0.006976136587912569
2023-01-18,9940394.455999998,-69832.71200000122,-0.006976136587912569
2023-01-19,9940394.455999998,-69832.71200000122,-0.006976136587912569
2023-01-20,9940394.455999998,-69832.71200000122,-0.006976136587912569
2023-01-30,9940394.455999998,-69832.71200000122,-0.006976136587912569
2023-01-31,9940394.455999998,-69832.71200000122,-0.006976136587912569
2023-02-01,9940394.455999998,-69832.71200000122,-0.006976136587912569
2023-02-02,9937096.079999998,-73131.08800000139,-0.0073056372020988474
2023-02-03,9939576.079999998,-70651.08800000139,-0.007057890576734751
2023-02-06,9937656.079999998,-72571.08800000139,-0.007249694415726309
2023-02-07,9937176.079999998,-73051.08800000139,-0.007297645375474199
2023-02-08,9932136.079999998,-78091.08800000139,-0.007801130452827041
2023-02-09,9930536.079999998,-79691.08800000139,-0.007960966985320006
2023-02-10,9933176.079999998,-77051.08800000139,-0.007697236706706613
2023-02-13,9936616.079999998,-73611.08800000139,-0.007353588161846737
2023-02-14,9934438.559999999,-75788.60800000094,-0.0075711176907429945
2023-02-15,9935558.559999999,-74668.60800000094,-0.007459232117997918
2023-02-16,9933478.559999999,-76748.60800000094,-0.007667019610238773
2023-02-17,9927958.559999999,-82268.60800000094,-0.008218455647339504
