datetime,IM.CFFEX,IC.CFFEX,IF.CFFEX
2022-07-25,0.0,0.0,0.0
2022-07-26,-4869.248000000072,0.0,0.0
2022-07-27,-5989.248000000145,0.0,0.0
2022-07-28,-8469.248000000072,0.0,0.0
2022-07-29,-9589.248000000145,0.0,0.0
2022-08-01,-6789.247999999781,0.0,0.0
2022-08-02,-9189.248000000145,-13453.512000000217,0.0
2022-08-03,-10069.248000000072,-9613.512000000072,0.0
2022-08-04,-7349.248,-10017.960000000145,0.0
2022-08-05,-5109.248000000218,-13301.944000000141,0.0
2022-08-08,-6069.248000000072,-11141.944000000287,0.0
2022-08-09,-4869.248000000072,-11541.944000000287,0.0
2022-08-10,-5109.248000000218,-11941.944000000287,0.0
2022-08-11,-4069.2480000000724,-11941.944000000287,0.0
2022-08-12,-5589.248000000145,-10821.944000000214,0.0
2022-08-15,-6389.248000000145,-10981.944000000432,0.0
2022-08-16,-7269.248000000072,-10421.944000000214,0.0
2022-08-17,-7292.632000000218,-10181.944000000069,0.0
2022-08-18,-7292.632000000218,-12741.944000000287,0.0
2022-08-19,-7292.632000000218,-13061.94400000036,-499.54800000054456
2022-08-22,-9140.752000000508,-9861.943999999996,-979.5480000006537
2022-08-23,-6260.752000000217,-11461.94400000036,220.451999999892
2022-08-24,-4580.75200000029,-12101.944000000505,220.45199999962279
2022-08-25,-4420.752000000435,-11461.94400000036,-499.5480000005409
2022-08-26,-4980.75200000029,-11061.94400000036,-1579.54800000065
2022-08-29,-5300.752000000362,-10341.944000000287,-1579.5480000003772
2022-08-30,-3700.7520000003624,-9941.944000000287,-1939.5480000003226
2022-08-31,-6340.752000000508,-11861.94400000036,-2899.548000000268
2022-09-01,-5540.752000000144,-12101.944000000141,-3139.5480000003226
2022-09-02,-4820.752000000435,-12661.94400000036,-4819.548000000432
2022-09-05,-7380.75200000029,-12341.944000000287,-3979.548000000377
2022-09-06,-7540.752000000144,-12101.944000000141,-4939.548000000323
2022-09-07,-6420.752000000435,-12901.944000000141,-4339.548000000323
2022-09-08,-5700.752000000362,-12341.944000000287,-2419.548000000159
2022-09-09,-9700.752000000362,-14341.944000000287,-3259.5480000004864
2022-09-13,-6740.752000000508,-16901.94400000014,-4699.548000000541
2022-09-14,-5300.752000000362,-20596.04000000014,-5419.548000000159
2022-09-15,4059.247999999492,-20596.04000000014,-6859.5480000002135
2022-09-16,32059.24799999949,-20596.04000000014,-9141.120000000214
2022-09-19,39964.32799999935,-20596.04000000014,-9141.120000000214
2022-09-20,43644.32799999964,-20596.04000000014,-15734.004000000106
2022-09-21,43564.32799999971,-20596.04000000014,-14654.00400000027
2022-09-22,37564.32799999971,-20596.04000000014,-15974.00400000016
2022-09-23,32124.3279999992,-20596.04000000014,-15134.004000000106
2022-09-26,30204.327999999492,-20596.04000000014,-16214.004000000215
2022-09-27,31324.327999999565,-20596.04000000014,-17294.004000000325
2022-09-28,24044.327999999638,-20596.04000000014,-17414.004000000215
2022-09-29,25084.32799999942,-20596.04000000014,-20654.00400000027
2022-09-30,24604.327999999492,-20596.04000000014,-19694.00400000005
2022-10-10,28204.327999999492,-20596.04000000014,-19814.00400000021
2022-10-11,29244.327999999274,-20596.04000000014,-22934.004000000103
2022-10-12,29884.32799999942,-20596.04000000014,-21014.004000000208
2022-10-13,29644.327999999274,-20596.04000000014,-21494.004000000044
2022-10-14,28364.327999999347,-20596.04000000014,-19214.00400000021
2022-10-17,26844.327999999638,-20596.04000000014,-21713.772000000266
2022-10-18,32524.327999999565,-20596.04000000014,-21713.772000000266
2022-10-19,31564.327999999347,-20596.04000000014,-21713.772000000266
2022-10-20,30173.39999999942,-20596.04000000014,-21713.772000000266
2022-10-21,30173.39999999942,-20596.04000000014,-21713.772000000266
2022-10-24,30173.39999999942,-20596.04000000014,-21713.772000000266
2022-10-25,23108.479999999567,-20596.04000000014,-21713.772000000266
2022-10-26,21028.47999999964,-20596.04000000014,-21713.772000000266
2022-10-27,19188.479999999494,-20596.04000000014,-21713.772000000266
2022-10-28,17188.479999999494,-20596.04000000014,-21713.772000000266
2022-10-31,21508.479999999567,-20596.04000000014,-21713.772000000266
2022-11-01,21588.479999999494,-20596.04000000014,-21713.772000000266
2022-11-02,18628.479999999276,-20596.04000000014,-21713.772000000266
2022-11-03,19268.47999999942,-20596.04000000014,-21713.772000000266
2022-11-04,18708.479999999567,-20596.04000000014,-21713.772000000266
2022-11-07,16948.47999999935,-20596.04000000014,-21713.772000000266
2022-11-08,17508.479999999567,-20596.04000000014,-21713.772000000266
2022-11-09,13508.479999999567,-21725.80799999992,-21713.772000000266
2022-11-10,14788.479999999494,-26445.807999999994,-21713.772000000266
2022-11-11,12788.479999999494,-26925.80799999992,-21713.772000000266
2022-11-14,21456.551999999494,-27645.807999999994,-21713.772000000266
2022-11-15,19809.47199999942,-23965.808000000066,-21713.772000000266
2022-11-16,19190.047999999493,-25885.80800000014,-21713.772000000266
2022-11-17,15139.34399999942,-26045.807999999994,-21713.772000000266
2022-11-18,11859.343999999493,-32365.807999999703,-22054.152000000373
2022-11-21,10899.343999999639,-33005.807999999844,-23254.152000000373
2022-11-22,17859.343999999495,-31885.80799999977,-23374.152000000264
2022-11-23,17619.34399999935,-30285.80799999977,-24694.152000000155
2022-11-24,20259.343999999495,-30125.807999999917,-24574.152000000264
2022-11-25,19539.343999999423,-31965.808000000063,-24934.152000000482
2022-11-28,20659.343999999495,-32605.807999999844,-24694.152000000155
2022-11-29,17379.343999999568,-31965.8079999997,-25414.15200000033
2022-11-30,21219.343999999714,-30205.807999999844,-23734.15200000022
2022-12-01,17459.343999999495,-31725.807999999917,-26134.15200000022
2022-12-02,16899.34399999964,-32525.807999999917,-28894.15200000044
2022-12-05,19219.34399999935,-28285.80799999977,-26974.15200000027
2022-12-06,21219.343999999714,-28925.807999999917,-26614.152000000053
2022-12-07,20899.343999999277,-29965.808000000063,-27094.152000000435
2022-12-08,23299.34399999964,-28845.80799999999,-26374.15200000027
2022-12-09,25859.343999999495,-29005.807999999844,-25894.152000000162
2022-12-12,22179.343999999568,-31405.807999999844,-27934.15200000049
2022-12-13,20179.343999999568,-32125.807999999917,-28534.152000000217
2022-12-14,18133.343999999495,-31336.05599999999,-32014.152000000053
2022-12-15,18133.343999999495,-31336.05599999999,-35374.15200000027
2022-12-16,18133.343999999495,-31336.05599999999,-39447.85200000027
2022-12-19,18133.343999999495,-31336.05599999999,-39447.85200000027
2022-12-20,15383.087999999352,-31336.05599999999,-39916.95600000027
2022-12-21,13436.223999999207,-31336.05599999999,-39796.95600000011
2022-12-22,8771.711999998986,-31336.05599999999,-38836.956000000166
2022-12-23,11091.71199999906,-31336.05599999999,-39316.956000000275
2022-12-26,8291.71199999906,-31336.05599999999,-40516.956000000275
2022-12-27,11171.711999998986,-31336.05599999999,-40756.956000000326
2022-12-28,8691.71199999906,-31336.05599999999,-40516.95600000027
2022-12-29,9491.71199999906,-31336.05599999999,-40756.956000000326
2022-12-30,11651.711999999277,-31336.05599999999,-40156.95600000005
2023-01-03,17411.711999999134,-31336.05599999999,-40516.95600000027
2023-01-04,17971.711999998988,-31336.05599999999,-37876.95600000021
2023-01-05,19171.711999998988,-31336.05599999999,-36316.95600000026
2023-01-06,17491.71199999906,-31336.05599999999,-36676.95600000021
2023-01-09,13372.06399999906,-31336.05599999999,-37516.95600000027
2023-01-10,8052.58399999906,-31336.05599999999,-36076.95600000021
2023-01-11,10331.94399999906,-31336.05599999999,-37156.95600000032
2023-01-12,10331.94399999906,-31336.05599999999,-38601.43200000026
2023-01-13,10331.94399999906,-31336.05599999999,-38601.43200000026
2023-01-16,10331.94399999906,-31336.05599999999,-38601.43200000026
2023-01-17,10331.94399999906,-31336.05599999999,-38601.43200000026
2023-01-18,10331.94399999906,-31336.05599999999,-38601.43200000026
2023-01-19,10331.94399999906,-31336.05599999999,-38601.43200000026
2023-01-20,10331.94399999906,-31336.05599999999,-38601.43200000026
2023-01-30,10331.94399999906,-31336.05599999999,-38601.43200000026
2023-01-31,10331.94399999906,-31336.05599999999,-38601.43200000026
2023-02-01,10331.94399999906,-31336.05599999999,-38601.43200000026
2023-02-02,9060.663999998987,-33363.15200000006,-38601.43200000026
2023-02-03,12580.66399999906,-34403.152000000206,-38601.43200000026
2023-02-06,13140.663999998915,-36883.15199999977,-38601.43200000026
2023-02-07,11060.663999998987,-35283.15199999977,-38601.43200000026
2023-02-08,10020.663999999206,-39283.15199999977,-38601.43200000026
2023-02-09,6820.663999999206,-37683.15200000013,-38601.43200000026
2023-02-10,7300.663999999133,-35523.15200000028,-38601.43200000026
2023-02-13,8260.663999998987,-33043.15199999999,-38601.43200000026
2023-02-14,7540.6639999992785,-33043.15199999999,-40058.95199999993
2023-02-15,10020.663999998842,-35123.151999999915,-39338.95200000059
2023-02-16,8260.663999998987,-36403.152000000206,-38378.95200000037
2023-02-17,6740.6639999992785,-38243.15199999999,-40538.95200000031
2023-02-20,14180.66399999906,-32003.15199999984,-40058.95199999993
2023-02-21,10740.663999998915,-33363.15200000006,-40418.952000000696
2023-02-22,15460.663999998987,-33283.15200000013,-40298.95200000026
2023-02-23,13620.663999999206,-32723.151999999915,-39818.95200000015
2023-02-24,13060.663999999351,-31683.152000000133,-39698.95200000026
