datetime,product,vt_symbol,role,near,far,prev_lots,curr_lots,change
2022-07-25,IM,IM2208.CFFEX,near,IM2208.CFFEX,IM2209.CFFEX,0.0,2.0,2.0
2022-07-25,IM,IM2209.CFFEX,far,IM2208.CFFEX,IM2209.CFFEX,0.0,-2.0,-2.0
2022-08-01,IC,IC2209.CFFEX,near,IC2209.CFFEX,IC2212.CFFEX,0.0,2.0,2.0
2022-08-01,IC,IC2212.CFFEX,far,IC2209.CFFEX,IC2212.CFFEX,0.0,-2.0,-2.0
2022-08-03,IC,IC2209.CFFEX,near,IC2209.CFFEX,IC2208.CFFEX,2.0,0.0,-2.0
2022-08-03,IC,IC2212.CFFEX,unknown,IC2209.CFFEX,IC2208.CFFEX,-2.0,0.0,2.0
2022-08-04,IC,IC2209.CFFEX,near,IC2209.CFFEX,IC2212.CFFEX,0.0,2.0,2.0
2022-08-04,IC,IC2212.CFFEX,far,IC2209.CFFEX,IC2212.CFFEX,0.0,-2.0,-2.0
2022-08-16,IM,IM2208.CFFEX,near,IM2208.CFFEX,IM2208.CFFEX,2.0,0.0,-2.0
2022-08-16,IM,IM2209.CFFEX,unknown,IM2208.CFFEX,IM2208.CFFEX,-2.0,0.0,2.0
2022-08-18,IF,IF2209.CFFEX,near,IF2209.CFFEX,IF2212.CFFEX,0.0,2.0,2.0
2022-08-18,IF,IF2212.CFFEX,far,IF2209.CFFEX,IF2212.CFFEX,0.0,-2.0,-2.0
2022-08-19,IM,IM2209.CFFEX,near,IM2209.CFFEX,IM2212.CFFEX,0.0,2.0,2.0
2022-08-19,IM,IM2212.CFFEX,far,IM2209.CFFEX,IM2212.CFFEX,0.0,-2.0,-2.0
2022-09-13,IC,IC2209.CFFEX,near,IC2209.CFFEX,IC2209.CFFEX,2.0,0.0,-2.0
2022-09-13,IC,IC2212.CFFEX,unknown,IC2209.CFFEX,IC2209.CFFEX,-2.0,0.0,2.0
2022-09-15,IF,IF2209.CFFEX,near,IF2209.CFFEX,IF2209.CFFEX,2.0,0.0,-2.0
2022-09-15,IF,IF2212.CFFEX,unknown,IF2209.CFFEX,IF2209.CFFEX,-2.0,0.0,2.0
2022-09-16,IM,IM2209.CFFEX,unknown,IM2210.CFFEX,IM2212.CFFEX,2.0,0.0,-2.0
2022-09-16,IM,IM2210.CFFEX,near,IM2210.CFFEX,IM2212.CFFEX,0.0,2.0,2.0
2022-09-19,IF,IF2210.CFFEX,near,IF2210.CFFEX,IF2212.CFFEX,0.0,2.0,2.0
2022-09-19,IF,IF2212.CFFEX,far,IF2210.CFFEX,IF2212.CFFEX,0.0,-2.0,-2.0
2022-10-14,IF,IF2210.CFFEX,near,IF2210.CFFEX,IF2210.CFFEX,2.0,0.0,-2.0
2022-10-14,IF,IF2212.CFFEX,unknown,IF2210.CFFEX,IF2210.CFFEX,-2.0,0.0,2.0
2022-10-19,IM,IM2210.CFFEX,near,IM2210.CFFEX,IM2210.CFFEX,2.0,0.0,-2.0
2022-10-19,IM,IM2212.CFFEX,unknown,IM2210.CFFEX,IM2210.CFFEX,-2.0,0.0,2.0
2022-10-24,IM,IM2211.CFFEX,near,IM2211.CFFEX,IM2212.CFFEX,0.0,2.0,2.0
2022-10-24,IM,IM2212.CFFEX,far,IM2211.CFFEX,IM2212.CFFEX,0.0,-2.0,-2.0
2022-11-08,IC,IC2212.CFFEX,near,IC2212.CFFEX,IC2303.CFFEX,0.0,2.0,2.0
2022-11-08,IC,IC2303.CFFEX,far,IC2212.CFFEX,IC2303.CFFEX,0.0,-2.0,-2.0
