product,pair,start,end,days,total_pnl
IC,IC2209.CFFEX / IC2212.CFFEX,2022-08-05,2022-09-13,40,-16399.936
IC,IC2212.CFFEX / IC2303.CFFEX,2022-11-08,2022-11-29,22,-53812.19199999942
IC,IC2309.CFFEX / IC2312.CFFEX,2023-08-29,2023-09-12,15,4234.49600000029
IC,IC2309.CFFEX / IC2310.CFFEX,2023-09-14,2023-09-15,2,-37025.37599999855
IC,IC2312.CFFEX / IC2403.CFFEX,2023-11-08,2023-11-20,13,29563.391999999127
IC,IC2403.CFFEX / IC2406.CFFEX,2024-02-01,2024-03-11,40,-57766.44000000054
IC,IC2403.CFFEX / IC2404.CFFEX,2024-03-14,2024-03-15,2,-104915.66400000131
IC,IC2406.CFFEX / IC2409.CFFEX,2024-05-06,2024-05-30,25,18987.408000000618
IC,IC2406.CFFEX / IC2409.CFFEX,2024-06-04,2024-06-05,2,-4397.687999999331
IC,IC2409.CFFEX / IC2412.CFFEX,2024-08-01,2024-08-28,28,-6581.799999999273
IC,IC2409.CFFEX / IC2412.CFFEX,2024-08-29,2024-09-13,16,23435.72000000073
IC,IC2412.CFFEX / IC2503.CFFEX,2024-11-01,2024-12-17,47,41340.288000001456
IC,IC2412.CFFEX / IC2501.CFFEX,2024-12-19,2024-12-20,2,5148.287999999418
IC,IC2503.CFFEX / IC2506.CFFEX,2025-02-05,2025-03-18,42,80307.83999999796
IC,IC2509.CFFEX / IC2512.CFFEX,2025-08-14,2025-09-15,33,50672.49600000056
IC,IC2512.CFFEX / IC2603.CFFEX,2025-11-03,2025-12-15,43,18473.20799999914
IC,IC2603.CFFEX / IC2606.CFFEX,2026-02-02,2026-03-11,38,25132.872000000523
IC,IC2606.CFFEX / IC2609.CFFEX,2026-05-06,2026-06-15,41,46140.859999999324
