product,pair,start,end,days,total_pnl
IF,IF2209.CFFEX / IF2212.CFFEX,2022-08-18,2022-08-31,14,-10111.374000000942
IF,IF2209.CFFEX / IF2212.CFFEX,2022-09-01,2022-09-02,2,-8647.248000000436
IF,IF2210.CFFEX / IF2212.CFFEX,2022-10-10,2022-10-14,5,556.2719999999999
IF,IF2212.CFFEX / IF2303.CFFEX,2022-11-17,2022-12-15,29,-56144.591999999815
IF,IF2301.CFFEX / IF2303.CFFEX,2022-12-19,2022-12-27,9,-7156.752000000655
IF,IF2303.CFFEX / IF2306.CFFEX,2023-02-20,2023-03-15,24,-4792.704000000669
IF,IF2309.CFFEX / IF2312.CFFEX,2023-08-18,2023-08-25,8,607.4879999999866
IF,IF2309.CFFEX / IF2312.CFFEX,2023-08-29,2023-08-31,3,8739.936000000218
IF,IF2309.CFFEX / IF2312.CFFEX,2023-09-04,2023-09-08,5,4918.128000000436
IF,IF2401.CFFEX / IF2403.CFFEX,2023-12-28,2024-01-03,7,10589.670000000979
IF,IF2403.CFFEX / IF2406.CFFEX,2024-02-02,2024-03-12,40,10449.95999999945
IF,IF2412.CFFEX / IF2503.CFFEX,2024-11-01,2024-12-16,46,19243.58400000045
IF,IF2512.CFFEX / IF2603.CFFEX,2025-11-03,2025-11-18,16,13213.61999999961
IF,IF2512.CFFEX / IF2603.CFFEX,2025-11-21,2025-11-27,7,1059.9120000011458
IF,IF2512.CFFEX / IF2603.CFFEX,2025-12-01,2025-12-02,2,1463.1120000007713
IF,IF2603.CFFEX / IF2606.CFFEX,2026-02-09,2026-03-13,33,91299.26399999921
