datetime,pnl,cost,net_pnl,pair,position_value
2022-07-22,0.0,0.0,0.0,,0.0
2022-07-25,0.0,0.0,0.0,,0.0
2022-07-26,0.0,0.0,0.0,,0.0
2022-07-27,0.0,0.0,0.0,,0.0
2022-07-28,0.0,0.0,0.0,,0.0
2022-07-29,0.0,0.0,0.0,,0.0
2022-08-01,0.0,0.0,0.0,,0.0
2022-08-02,0.0,0.0,0.0,,0.0
2022-08-03,0.0,0.0,0.0,,0.0
2022-08-04,0.0,0.0,0.0,,0.0
2022-08-05,0.0,0.0,0.0,,0.0
2022-08-08,0.0,0.0,0.0,,0.0
2022-08-09,0.0,0.0,0.0,,0.0
2022-08-10,0.0,0.0,0.0,,0.0
2022-08-11,0.0,0.0,0.0,,0.0
2022-08-12,0.0,0.0,0.0,,0.0
2022-08-15,0.0,0.0,0.0,,0.0
2022-08-16,0.0,0.0,0.0,,0.0
2022-08-17,0.0,0.0,0.0,,0.0
2022-08-18,0.0,-1747.9980000000003,-1747.9980000000003,IF2209.CFFEX / IF2212.CFFEX,20000000.0
2022-08-19,-1.913576852530241e-09,0.0,-1.913576852530241e-09,IF2209.CFFEX / IF2212.CFFEX,20000000.0
2022-08-22,-1680.0000000003783,0.0,-1680.0000000003783,IF2209.CFFEX / IF2212.CFFEX,20000000.0
2022-08-23,4200.00000000191,0.0,4200.00000000191,IF2209.CFFEX / IF2212.CFFEX,20000000.0
2022-08-24,-9.313225746154785e-10,0.0,-9.313225746154785e-10,IF2209.CFFEX / IF2212.CFFEX,20000000.0
2022-08-25,-2520.000000000582,0.0,-2520.000000000582,IF2209.CFFEX / IF2212.CFFEX,20000000.0
2022-08-26,-3780.000000000382,0.0,-3780.000000000382,IF2209.CFFEX / IF2212.CFFEX,20000000.0
2022-08-29,9.531504474580288e-10,0.0,9.531504474580288e-10,IF2209.CFFEX / IF2212.CFFEX,20000000.0
2022-08-30,-1259.999999999809,0.0,-1259.999999999809,IF2209.CFFEX / IF2212.CFFEX,20000000.0
2022-08-31,-3359.999999999809,-1711.3740000000003,-5071.373999999809,,0.0
2022-09-01,0.0,-1937.808,-1937.808,IF2209.CFFEX / IF2212.CFFEX,20000000.0
2022-09-02,-6720.000000000437,-1927.248,-8647.248000000436,,0.0
2022-09-05,0.0,0.0,0.0,,0.0
2022-09-06,0.0,0.0,0.0,,0.0
2022-09-07,0.0,0.0,0.0,,0.0
2022-09-08,0.0,0.0,0.0,,0.0
2022-09-09,0.0,0.0,0.0,,0.0
2022-09-13,0.0,0.0,0.0,,0.0
2022-09-14,0.0,0.0,0.0,,0.0
2022-09-15,0.0,0.0,0.0,,0.0
2022-09-16,0.0,0.0,0.0,,0.0
2022-09-19,0.0,0.0,0.0,,0.0
2022-09-20,0.0,0.0,0.0,,0.0
2022-09-21,0.0,0.0,0.0,,0.0
2022-09-22,0.0,0.0,0.0,,0.0
2022-09-23,0.0,0.0,0.0,,0.0
2022-09-26,0.0,0.0,0.0,,0.0
2022-09-27,0.0,0.0,0.0,,0.0
2022-09-28,0.0,0.0,0.0,,0.0
2022-09-29,0.0,0.0,0.0,,0.0
2022-09-30,0.0,0.0,0.0,,0.0
2022-10-10,0.0,-1789.632,-1789.632,IF2210.CFFEX / IF2212.CFFEX,20000000.0
2022-10-11,-12479.999999999563,0.0,-12479.999999999563,IF2210.CFFEX / IF2212.CFFEX,20000000.0
2022-10-12,7679.999999999578,0.0,7679.999999999578,IF2210.CFFEX / IF2212.CFFEX,20000000.0
2022-10-13,-1919.9999999993452,0.0,-1919.9999999993452,IF2210.CFFEX / IF2212.CFFEX,20000000.0
2022-10-14,0.0,0.0,0.0,,0.0
2022-10-17,0.0,0.0,0.0,,0.0
2022-10-18,0.0,0.0,0.0,,0.0
2022-10-19,0.0,0.0,0.0,,0.0
2022-10-20,0.0,0.0,0.0,,0.0
2022-10-21,0.0,0.0,0.0,,0.0
2022-10-24,0.0,0.0,0.0,,0.0
2022-10-25,0.0,0.0,0.0,,0.0
2022-10-26,0.0,0.0,0.0,,0.0
2022-10-27,0.0,0.0,0.0,,0.0
2022-10-28,0.0,0.0,0.0,,0.0
2022-10-31,0.0,0.0,0.0,,0.0
2022-11-01,0.0,0.0,0.0,,0.0
2022-11-02,0.0,0.0,0.0,,0.0
2022-11-03,0.0,0.0,0.0,,0.0
2022-11-04,0.0,0.0,0.0,,0.0
2022-11-07,0.0,0.0,0.0,,0.0
2022-11-08,0.0,0.0,0.0,,0.0
2022-11-09,0.0,0.0,0.0,,0.0
2022-11-10,0.0,0.0,0.0,,0.0
2022-11-11,0.0,0.0,0.0,,0.0
2022-11-14,0.0,0.0,0.0,,0.0
2022-11-15,0.0,0.0,0.0,,0.0
2022-11-16,0.0,0.0,0.0,,0.0
2022-11-17,0.0,-1838.784,-1838.784,IF2212.CFFEX / IF2303.CFFEX,20000000.0
2022-11-18,-960.0000000002183,0.0,-960.0000000002183,IF2212.CFFEX / IF2303.CFFEX,20000000.0
2022-11-21,-4800.0,0.0,-4800.0,IF2212.CFFEX / IF2303.CFFEX,20000000.0
2022-11-22,-479.99999999956344,0.0,-479.99999999956344,IF2212.CFFEX / IF2303.CFFEX,20000000.0
