product,pair,start,end,days,total_pnl
IM,IM2208.CFFEX / IM2209.CFFEX,2022-08-05,2022-08-16,12,-9600.359999999506
IM,IM2209.CFFEX / IM2212.CFFEX,2022-08-19,2022-09-16,29,125903.71199999971
IM,IM2210.CFFEX / IM2212.CFFEX,2022-09-16,2022-10-19,34,-16915.556000000262
IM,IM2211.CFFEX / IM2212.CFFEX,2022-10-24,2022-11-11,19,-52818.52799999951
IM,IM2211.CFFEX / IM2212.CFFEX,2022-11-14,2022-11-15,2,-7489.412
IM,IM2212.CFFEX / IM2303.CFFEX,2022-11-16,2022-12-09,24,27821.97599999973
IM,IM2301.CFFEX / IM2303.CFFEX,2022-12-26,2022-12-27,2,8311.239999999745
IM,IM2301.CFFEX / IM2303.CFFEX,2023-01-03,2023-01-06,4,-1533.868000000255
IM,IM2301.CFFEX / IM2303.CFFEX,2023-01-09,2023-01-10,2,-2381.3159999994905
IM,IM2303.CFFEX / IM2306.CFFEX,2023-03-07,2023-03-08,2,4250.81999999949
IM,IM2306.CFFEX / IM2309.CFFEX,2023-05-23,2023-05-24,2,2387.364
IM,IM2309.CFFEX / IM2312.CFFEX,2023-08-29,2023-09-12,15,14027.648000000001
IM,IM2312.CFFEX / IM2403.CFFEX,2023-11-13,2023-11-20,8,50825.280000001454
IM,IM2312.CFFEX / IM2403.CFFEX,2023-11-21,2023-12-01,11,24945.631999998834
IM,IM2403.CFFEX / IM2406.CFFEX,2024-02-05,2024-02-06,2,-20405.37600000093
IM,IM2403.CFFEX / IM2406.CFFEX,2024-02-07,2024-03-12,35,114231.95999999961
IM,IM2403.CFFEX / IM2404.CFFEX,2024-03-14,2024-03-15,2,-129787.776
IM,IM2404.CFFEX / IM2406.CFFEX,2024-03-18,2024-03-19,2,-5612.287999999418
IM,IM2404.CFFEX / IM2406.CFFEX,2024-03-28,2024-04-01,5,-11337.803999999694
IM,IM2406.CFFEX / IM2409.CFFEX,2024-05-06,2024-06-18,44,71580.1680000004
IM,IM2406.CFFEX / IM2407.CFFEX,2024-06-20,2024-06-21,2,4670.2799999990175
IM,IM2409.CFFEX / IM2412.CFFEX,2024-08-13,2024-09-18,37,27860.879999998575
IM,IM2412.CFFEX / IM2503.CFFEX,2024-11-01,2024-12-17,47,63013.50400000058
IM,IM2503.CFFEX / IM2506.CFFEX,2025-02-11,2025-03-20,38,156985.37600000086
IM,IM2506.CFFEX / IM2509.CFFEX,2025-05-06,2025-05-22,17,98294.68800000058
IM,IM2506.CFFEX / IM2509.CFFEX,2025-05-29,2025-06-12,15,21111.455999999416
IM,IM2509.CFFEX / IM2512.CFFEX,2025-08-14,2025-09-16,34,61501.38400000077
IM,IM2512.CFFEX / IM2603.CFFEX,2025-11-03,2025-11-18,16,34263.76799999998
IM,IM2512.CFFEX / IM2603.CFFEX,2025-11-21,2025-12-16,26,16779.11200000078
IM,IM2603.CFFEX / IM2606.CFFEX,2026-02-02,2026-03-13,40,76783.41600000049
IM,IM2606.CFFEX / IM2609.CFFEX,2026-05-06,2026-06-15,41,35528.02000000076
