datetime,IC.CFFEX
2022-07-25,0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,0.0
2022-07-29,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-08,20747.487999999714
2022-08-09,19147.487999999714
2022-08-10,17547.487999999714
2022-08-11,17547.487999999714
2022-08-12,22027.488000000005
2022-08-15,21387.48799999913
2022-08-16,23627.488000000005
2022-08-17,24587.488000000587
2022-08-18,14347.487999999714
2022-08-19,13067.487999999423
2022-08-22,25867.488000000878
2022-08-23,19467.487999999423
2022-08-24,16907.48799999884
2022-08-25,19467.487999999423
2022-08-26,21067.487999999423
2022-08-29,23947.487999999714
2022-08-30,25547.487999999714
2022-08-31,17867.487999999423
2022-09-01,16907.488000000296
2022-09-02,14667.487999999423
2022-09-05,15947.487999999714
2022-09-06,16907.488000000296
2022-09-07,13707.488000000296
2022-09-08,15947.487999999714
2022-09-09,7947.487999999714
2022-09-13,-2292.511999999704
2022-09-14,-17068.895999999695
2022-09-15,-17068.895999999695
2022-09-16,-17068.895999999695
2022-09-19,-17068.895999999695
2022-09-20,-17068.895999999695
2022-09-21,-17068.895999999695
2022-09-22,-17068.895999999695
2022-09-23,-17068.895999999695
2022-09-26,-17068.895999999695
2022-09-27,-17068.895999999695
2022-09-28,-17068.895999999695
2022-09-29,-17068.895999999695
2022-09-30,-17068.895999999695
2022-10-10,-17068.895999999695
2022-10-11,-17068.895999999695
2022-10-12,-17068.895999999695
2022-10-13,-17068.895999999695
2022-10-14,-17068.895999999695
2022-10-17,-17068.895999999695
2022-10-18,-17068.895999999695
2022-10-19,-17068.895999999695
2022-10-20,-17068.895999999695
2022-10-21,-17068.895999999695
2022-10-24,-17068.895999999695
2022-10-25,-17068.895999999695
2022-10-26,-17068.895999999695
2022-10-27,-17068.895999999695
2022-10-28,-17068.895999999695
2022-10-31,-17068.895999999695
2022-11-01,-17068.895999999695
2022-11-02,-17068.895999999695
2022-11-03,-17068.895999999695
2022-11-04,-17068.895999999695
2022-11-07,-17068.895999999695
2022-11-08,-17068.895999999695
2022-11-09,-21587.967999998826
2022-11-10,-40467.96799999912
2022-11-11,-42387.96799999883
2022-11-14,-45267.96799999912
2022-11-15,-30547.96799999941
2022-11-16,-38227.9679999997
2022-11-17,-38867.96799999912
2022-11-18,-64147.967999997956
2022-11-21,-66707.96799999854
2022-11-22,-62227.96799999825
2022-11-23,-55827.96799999825
2022-11-24,-55187.96799999883
2022-11-25,-62547.96799999941
2022-11-28,-65107.96799999854
2022-11-29,-62547.967999997956
2022-11-30,-70277.53599999854
2022-12-01,-70277.53599999854
2022-12-02,-70277.53599999854
2022-12-05,-70277.53599999854
2022-12-06,-70277.53599999854
2022-12-07,-70277.53599999854
2022-12-08,-70277.53599999854
2022-12-09,-70277.53599999854
2022-12-12,-70277.53599999854
2022-12-13,-70277.53599999854
2022-12-14,-70277.53599999854
2022-12-15,-70277.53599999854
2022-12-16,-70277.53599999854
2022-12-19,-70277.53599999854
2022-12-20,-70277.53599999854
2022-12-21,-70277.53599999854
2022-12-22,-70277.53599999854
2022-12-23,-70277.53599999854
2022-12-26,-70277.53599999854
2022-12-27,-70277.53599999854
2022-12-28,-70277.53599999854
2022-12-29,-70277.53599999854
2022-12-30,-70277.53599999854
2023-01-03,-70277.53599999854
2023-01-04,-70277.53599999854
2023-01-05,-70277.53599999854
2023-01-06,-70277.53599999854
2023-01-09,-70277.53599999854
2023-01-10,-70277.53599999854
2023-01-11,-70277.53599999854
2023-01-12,-70277.53599999854
2023-01-13,-70277.53599999854
2023-01-16,-70277.53599999854
2023-01-17,-70277.53599999854
2023-01-18,-70277.53599999854
2023-01-19,-70277.53599999854
2023-01-20,-70277.53599999854
2023-01-30,-70277.53599999854
2023-01-31,-70277.53599999854
2023-02-01,-70277.53599999854
