datetime,IF.CFFEX
2022-07-25,0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,0.0
2022-07-29,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-08,0.0
2022-08-09,0.0
2022-08-10,0.0
2022-08-11,0.0
2022-08-12,0.0
2022-08-15,0.0
2022-08-16,0.0
2022-08-17,0.0
2022-08-18,0.0
2022-08-19,-1748.4180000019114
2022-08-22,-3428.41800000229
2022-08-23,771.5819999996202
2022-08-24,771.5819999986888
2022-08-25,-1748.4180000018932
2022-08-26,-5528.418000002275
2022-08-29,-5528.418000001322
2022-08-30,-6788.418000001131
2022-08-31,-10148.41800000094
2022-09-01,-16475.214000000564
2022-09-02,-11218.062000000562
2022-09-05,-11218.30200000013
2022-09-06,-11218.30200000013
2022-09-07,-11218.30200000013
2022-09-08,-11218.30200000013
2022-09-09,-11218.30200000013
2022-09-13,-11218.30200000013
2022-09-14,-11218.30200000013
2022-09-15,-11218.30200000013
2022-09-16,-11218.30200000013
2022-09-19,-11218.30200000013
2022-09-20,-11218.30200000013
2022-09-21,-11218.30200000013
2022-09-22,-11218.30200000013
2022-09-23,-11218.30200000013
2022-09-26,-11218.30200000013
2022-09-27,-11218.30200000013
2022-09-28,-11218.30200000013
2022-09-29,-11218.30200000013
2022-09-30,-11218.30200000013
2022-10-10,-11218.30200000013
2022-10-11,-31251.10199999991
2022-10-12,-23571.102000000334
2022-10-13,-25491.10199999968
2022-10-14,-16371.102000000348
2022-10-17,-26370.174000000567
2022-10-18,-26370.174000000567
2022-10-19,-26370.174000000567
2022-10-20,-26370.174000000567
2022-10-21,-26370.174000000567
2022-10-24,-26370.174000000567
2022-10-25,-26370.174000000567
2022-10-26,-26370.174000000567
2022-10-27,-26370.174000000567
2022-10-28,-26370.174000000567
2022-10-31,-26370.174000000567
2022-11-01,-26370.174000000567
2022-11-02,-26370.174000000567
2022-11-03,-26370.174000000567
2022-11-04,-26370.174000000567
2022-11-07,-26370.174000000567
2022-11-08,-26370.174000000567
2022-11-09,-26370.174000000567
2022-11-10,-26370.174000000567
2022-11-11,-26370.174000000567
2022-11-14,-26370.174000000567
2022-11-15,-26370.174000000567
2022-11-16,-26370.174000000567
2022-11-17,-26370.174000000567
2022-11-18,-27731.694000001
2022-11-21,-32531.694000001
2022-11-22,-33011.69400000056
2022-11-23,-38291.69400000013
2022-11-24,-37811.69400000056
2022-11-25,-39251.69400000144
2022-11-28,-38291.69400000013
2022-11-29,-41171.694000000825
2022-11-30,-34451.69400000039
2022-12-01,-44051.69400000039
2022-12-02,-55091.69400000126
2022-12-05,-47411.69400000059
2022-12-06,-45971.69399999972
2022-12-07,-47891.69400000125
2022-12-08,-45011.69400000059
2022-12-09,-43091.694000000156
2022-12-12,-51251.694000001466
2022-12-13,-53651.694000000374
2022-12-14,-67571.69399999973
2022-12-15,-81011.6940000006
2022-12-16,-97306.49400000059
2022-12-19,-97306.49400000059
2022-12-20,-99182.91000000059
2022-12-21,-98702.90999999993
2022-12-22,-94862.91000000015
2022-12-23,-96782.91000000059
2022-12-26,-101582.91000000059
2022-12-27,-102542.9100000008
2022-12-28,-118815.9180000008
2022-12-29,-118815.9180000008
2022-12-30,-118815.9180000008
2023-01-03,-118815.9180000008
2023-01-04,-118815.9180000008
2023-01-05,-118815.9180000008
2023-01-06,-118815.9180000008
2023-01-09,-118815.9180000008
2023-01-10,-118815.9180000008
2023-01-11,-118815.9180000008
2023-01-12,-118815.9180000008
2023-01-13,-118815.9180000008
2023-01-16,-118815.9180000008
2023-01-17,-118815.9180000008
2023-01-18,-118815.9180000008
2023-01-19,-118815.9180000008
2023-01-20,-118815.9180000008
2023-01-30,-118815.9180000008
2023-01-31,-118815.9180000008
2023-02-01,-118815.9180000008
2023-02-02,-118815.9180000008
