datetime,balance,drawdown,ddpercent
2022-07-25,10000000.0,0.0,0.0
2022-07-26,10000000.0,0.0,0.0
2022-07-27,10000000.0,0.0,0.0
2022-07-28,10000000.0,0.0,0.0
2022-07-29,10000000.0,0.0,0.0
2022-08-01,10000000.0,0.0,0.0
2022-08-02,10000000.0,0.0,0.0
2022-08-03,10000000.0,0.0,0.0
2022-08-04,10000000.0,0.0,0.0
2022-08-05,10000000.0,0.0,0.0
2022-08-08,10009509.192,0.0,0.0
2022-08-09,10013709.192,0.0,0.0
2022-08-10,10012869.192,-840.0,-8.388500044230165e-05
2022-08-11,10016509.192,0.0,0.0
2022-08-12,10011189.192,-5320.0,-0.0005311231585799357
2022-08-15,10008389.192,-8120.0,-0.0008106616630956914
2022-08-16,10005309.192,-11200.0,-0.0011181540180630225
2022-08-17,10005227.348,-11281.844000000507,-0.0011263249285500688
2022-08-18,10005227.348,-11281.844000000507,-0.0011263249285500688
2022-08-19,10005227.348,-11281.844000000507,-0.0011263249285500688
2022-08-22,9999682.987999998,-16826.204000001773,-0.0016798471081562578
2022-08-23,10008322.988,-8186.203999999911,-0.0008172711513645971
2022-08-24,10013362.988,-3146.2039999999106,-0.000314101843236237
2022-08-25,10013842.987999998,-2666.2040000017732,-0.00026618095674800767
2022-08-26,10012162.988,-4346.203999999911,-0.00043390405945727513
2022-08-29,10011202.987999998,-5306.204000001773,-0.0005297458324342916
2022-08-30,10016002.987999998,-506.20400000177324,-5.0536967550139026e-05
2022-08-31,10008082.987999998,-8426.204000001773,-0.0008412315946089907
2022-09-01,10010482.988,-6026.203999999911,-0.0006016271621667285
2022-09-02,10012642.987999998,-3866.2040000017732,-0.00038598317296904583
2022-09-05,10004962.988,-11546.20399999991,-0.001152717356783504
2022-09-06,10004482.988,-12026.20399999991,-0.0012006382432719193
2022-09-07,10007842.987999998,-8666.204000001773,-0.0008651920378531984
2022-09-08,10010002.987999998,-6506.204000001773,-0.0006495480486553297
2022-09-09,9998002.987999998,-18506.204000001773,-0.0018475702108657112
2022-09-13,10006882.987999998,-9626.204000001773,-0.0009610338108300289
2022-09-14,10011202.987999998,-5306.204000001773,-0.0005297458324342916
2022-09-15,10039282.987999998,0.0,0.0
2022-09-16,10123282.987999998,0.0,0.0
2022-09-19,10151265.263999999,0.0,0.0
2022-09-20,10164145.263999999,0.0,0.0
2022-09-21,10163865.263999999,-280.0,-2.754781565270632e-05
2022-09-22,10142865.263999999,-21280.0,-0.0020936339896056805
2022-09-23,10123825.263999997,-40320.00000000186,-0.003966885453989894
2022-09-26,10117105.263999999,-47040.0,-0.0046280330296546626
2022-09-27,10121025.263999999,-43120.0,-0.004242363610516773
2022-09-28,10095545.263999999,-68600.0,-0.006749214834913049
2022-09-29,10099185.263999999,-64960.0,-0.006391093231427867
2022-09-30,10097505.263999999,-66640.0,-0.0065563801253441046
2022-10-10,10110105.263999999,-54040.0,-0.00531672842097232
2022-10-11,10113745.263999997,-50400.00000000186,-0.004958606817487322
