datetime,balance,drawdown,ddpercent
2022-07-25,10000000.0,0.0,0.0
2022-07-26,9982957.632,-17042.368000000715,-0.0017042368000000714
2022-07-27,9979037.632,-20962.368000000715,-0.0020962368000000714
2022-07-28,9970357.632,-29642.368000000715,-0.0029642368000000717
2022-07-29,9966437.632,-33562.368000000715,-0.0033562368000000717
2022-08-01,9976237.632000001,-23762.367999998853,-0.0023762367999998852
2022-08-02,9967837.632,-32162.368000000715,-0.0032162368000000713
2022-08-03,9964757.632,-35242.368000000715,-0.0035242368000000714
2022-08-04,9974277.632,-25722.368000000715,-0.0025722368000000717
2022-08-05,9982117.632,-17882.368000000715,-0.0017882368000000715
2022-08-08,9978757.632,-21242.368000000715,-0.0021242368000000717
2022-08-09,9982957.632,-17042.368000000715,-0.0017042368000000714
2022-08-10,9982117.632,-17882.368000000715,-0.0017882368000000715
2022-08-11,9985757.632,-14242.368000000715,-0.0014242368000000716
2022-08-12,9980437.632,-19562.368000000715,-0.0019562368000000715
2022-08-15,9977637.632,-22362.368000000715,-0.0022362368000000713
2022-08-16,9974557.632,-25442.368000000715,-0.0025442368000000715
2022-08-17,9974475.787999999,-25524.212000001222,-0.0025524212000001224
2022-08-18,9974475.787999999,-25524.212000001222,-0.0025524212000001224
2022-08-19,9974475.787999999,-25524.212000001222,-0.0025524212000001224
2022-08-22,9968931.427999998,-31068.57200000249,-0.0031068572000002488
2022-08-23,9977571.428,-22428.572000000626,-0.0022428572000000625
2022-08-24,9982611.428,-17388.572000000626,-0.0017388572000000626
2022-08-25,9983091.428,-16908.572000000626,-0.0016908572000000626
2022-08-26,9981411.428,-18588.572000000626,-0.0018588572000000625
2022-08-29,9980451.428,-19548.572000000626,-0.0019548572000000625
2022-08-30,9985251.428,-14748.572000000626,-0.0014748572000000625
2022-08-31,9977331.427999998,-22668.57200000249,-0.0022668572000002487
2022-09-01,9979731.428,-20268.572000000626,-0.0020268572000000625
2022-09-02,9981891.428,-18108.572000000626,-0.0018108572000000627
2022-09-05,9974211.428,-25788.572000000626,-0.0025788572000000625
2022-09-06,9973731.428,-26268.572000000626,-0.0026268572000000628
2022-09-07,9977091.428,-22908.572000000626,-0.0022908572000000624
2022-09-08,9979251.428,-20748.572000000626,-0.0020748572000000628
2022-09-09,9967251.428,-32748.572000000626,-0.0032748572000000625
2022-09-13,9976131.427999998,-23868.57200000249,-0.002386857200000249
2022-09-14,9980451.428,-19548.572000000626,-0.0019548572000000625
2022-09-15,10008531.427999998,0.0,0.0
2022-09-16,10092531.427999998,0.0,0.0
2022-09-19,10120513.703999998,0.0,0.0
2022-09-20,10133393.703999998,0.0,0.0
2022-09-21,10133113.704,-279.99999999813735,-2.7631414329398034e-05
2022-09-22,10112113.704,-21279.999999998137,-0.0020999874890480366
2022-09-23,10093073.703999998,-40320.0,-0.003978923663459786
2022-09-26,10086353.703999998,-47040.0,-0.00464207760736975
2022-09-27,10090273.703999998,-43120.0,-0.004255237806755604
2022-09-28,10064793.703999998,-68600.0,-0.006769696510747552
2022-09-29,10068433.703999998,-64960.0,-0.006410488124462988
2022-09-30,10066753.703999998,-66640.0,-0.006576276610440479
2022-10-10,10079353.703999998,-54040.0,-0.005332862965609296
2022-10-11,10082993.703999998,-50400.0,-0.004973654579324732
2022-10-12,10085233.703999998,-48160.0,-0.004752603264688077
2022-10-13,10084393.703999998,-49000.0,-0.004835497507676823
2022-10-14,10079913.703999998,-53480.0,-0.005277600136950132
2022-10-17,10074593.703999998,-58800.0,-0.005802597009212188
2022-10-18,10094473.703999998,-38920.0,-0.0038407665918118766
2022-10-19,10091113.703999998,-42280.0,-0.004172343563766859
2022-10-20,10086245.455999998,-47148.24799999967,-0.004652759912149534
2022-10-21,10086245.455999998,-47148.24799999967,-0.004652759912149534
2022-10-24,10086245.455999998,-47148.24799999967,-0.004652759912149534
2022-10-25,10061518.235999998,-71875.46800000034,-0.007092931558716467
2022-10-26,10054238.236,-79155.46799999848,-0.0078113483312854115
2022-10-27,10047798.235999998,-85595.46800000034,-0.008446870860865978
2022-10-28,10040798.235999998,-92595.46800000034,-0.009137656219105525
2022-10-31,10055918.235999998,-77475.46800000034,-0.0076455598453081045
2022-11-01,10056198.235999998,-77195.46800000034,-0.007617928430978522
2022-11-02,10045838.235999998,-87555.46800000034,-0.00864029076117305
2022-11-03,10048078.235999998,-85315.46800000034,-0.008419239446536397
2022-11-04,10046118.235999998,-87275.46800000034,-0.008612659346843469
2022-11-07,10039958.235999998,-93435.46800000034,-0.00922055046209427
2022-11-08,10041918.235999998,-91475.46800000034,-0.009027130561787196
2022-11-09,10027918.235999998,-105475.46800000034,-0.01040870127826629
2022-11-10,10032398.235999998,-100995.46800000034,-0.00996659864899298
2022-11-11,10025398.235999998,-107995.46800000034,-0.010657384007232526
2022-11-14,10055736.487999998,-77657.21600000001,-0.007663495396349403
2022-11-15,10049971.707999999,-83421.99599999934,-0.008232384770273934
2022-11-16,10047803.723999998,-85589.98000000045,-0.008446329285145129
2022-11-17,10033626.259999998,-99767.44400000013,-0.00984541279202628
2022-11-18,10022146.259999998,-111247.44400000013,-0.010978300779539134
2022-11-21,10018786.259999998,-114607.44400000013,-0.011309877751494116
2022-11-22,10043146.259999998,-90247.44400000013,-0.008905944704820496
2022-11-23,10042306.259999998,-91087.44400000013,-0.008988838947809242
2022-11-24,10051546.259999998,-81847.44400000013,-0.00807700227493304
2022-11-25,10049026.259999998,-84367.44400000013,-0.008325685003899278
2022-11-28,10052946.259999998,-80447.44400000013,-0.007938845203285132
2022-11-29,10041466.259999998,-91927.44400000013,-0.009071733190797987
2022-11-30,10054906.26,-78487.44399999827,-0.007745425302977875
2022-12-01,10041746.259999998,-91647.44400000013,-0.009044101776468406
2022-12-02,10039786.259999998,-93607.44400000013,-0.009237521676775478
2022-12-05,10047906.259999998,-85487.44400000013,-0.008436210661217605
2022-12-06,10054906.26,-78487.44399999827,-0.007745425302977875
2022-12-07,10053786.259999998,-79607.44400000013,-0.007855950960296386
2022-12-08,10062186.259999998,-71207.44400000013,-0.007027008530408931
2022-12-09,10071146.259999998,-62247.444000000134,-0.006142803271862311
2022-12-12,10058266.259999998,-75127.44400000013,-0.007413848331023076
2022-12-13,10051266.259999998,-82127.44400000013,-0.008104633689262623
2022-12-14,10044105.259999998,-89288.44400000013,-0.008811307110741679
2022-12-15,10044105.259999998,-89288.44400000013,-0.008811307110741679
2022-12-16,10044105.259999998,-89288.44400000013,-0.008811307110741679
2022-12-19,10044105.259999998,-89288.44400000013,-0.008811307110741679
