datetime,product,vt_symbol,role,near,far,prev_lots,curr_lots,change
2022-07-25,IM,IM2208.CFFEX,near,IM2208.CFFEX,IM2209.CFFEX,0.0,7.0,7.0
2022-07-25,IM,IM2209.CFFEX,far,IM2208.CFFEX,IM2209.CFFEX,0.0,-7.0,-7.0
2022-08-16,IM,IM2208.CFFEX,near,IM2208.CFFEX,IM2208.CFFEX,7.0,0.0,-7.0
2022-08-16,IM,IM2209.CFFEX,unknown,IM2208.CFFEX,IM2208.CFFEX,-7.0,0.0,7.0
2022-08-19,IM,IM2209.CFFEX,near,IM2209.CFFEX,IM2212.CFFEX,0.0,6.0,6.0
2022-08-19,IM,IM2212.CFFEX,far,IM2209.CFFEX,IM2212.CFFEX,0.0,-6.0,-6.0
2022-09-16,IM,IM2209.CFFEX,unknown,IM2210.CFFEX,IM2212.CFFEX,6.0,0.0,-6.0
2022-09-16,IM,IM2210.CFFEX,near,IM2210.CFFEX,IM2212.CFFEX,0.0,7.0,7.0
2022-09-16,IM,IM2212.CFFEX,far,IM2210.CFFEX,IM2212.CFFEX,-6.0,-7.0,-1.0
2022-10-19,IM,IM2210.CFFEX,near,IM2210.CFFEX,IM2210.CFFEX,7.0,0.0,-7.0
2022-10-19,IM,IM2212.CFFEX,unknown,IM2210.CFFEX,IM2210.CFFEX,-7.0,0.0,7.0
2022-10-24,IM,IM2211.CFFEX,near,IM2211.CFFEX,IM2212.CFFEX,0.0,7.0,7.0
2022-10-24,IM,IM2212.CFFEX,far,IM2211.CFFEX,IM2212.CFFEX,0.0,-7.0,-7.0
2022-11-11,IM,IM2211.CFFEX,near,IM2211.CFFEX,IM2211.CFFEX,7.0,0.0,-7.0
2022-11-11,IM,IM2212.CFFEX,unknown,IM2211.CFFEX,IM2211.CFFEX,-7.0,0.0,7.0
2022-11-14,IM,IM2211.CFFEX,near,IM2211.CFFEX,IM2212.CFFEX,0.0,7.0,7.0
2022-11-14,IM,IM2212.CFFEX,far,IM2211.CFFEX,IM2212.CFFEX,0.0,-7.0,-7.0
2022-11-15,IM,IM2211.CFFEX,far,IM2212.CFFEX,IM2211.CFFEX,7.0,0.0,-7.0
2022-11-15,IM,IM2212.CFFEX,near,IM2212.CFFEX,IM2211.CFFEX,-7.0,0.0,7.0
2022-11-16,IM,IM2212.CFFEX,near,IM2212.CFFEX,IM2303.CFFEX,0.0,7.0,7.0
2022-11-16,IM,IM2303.CFFEX,far,IM2212.CFFEX,IM2303.CFFEX,0.0,-7.0,-7.0
2022-12-13,IM,IM2212.CFFEX,near,IM2212.CFFEX,IM2212.CFFEX,7.0,0.0,-7.0
2022-12-13,IM,IM2303.CFFEX,unknown,IM2212.CFFEX,IM2212.CFFEX,-7.0,0.0,7.0
2022-12-19,IM,IM2301.CFFEX,near,IM2301.CFFEX,IM2303.CFFEX,0.0,7.0,7.0
2022-12-19,IM,IM2303.CFFEX,far,IM2301.CFFEX,IM2303.CFFEX,0.0,-7.0,-7.0
2022-12-20,IM,IM2301.CFFEX,near,IM2301.CFFEX,IM2301.CFFEX,7.0,0.0,-7.0
2022-12-20,IM,IM2303.CFFEX,unknown,IM2301.CFFEX,IM2301.CFFEX,-7.0,0.0,7.0
2022-12-21,IM,IM2301.CFFEX,near,IM2301.CFFEX,IM2303.CFFEX,0.0,7.0,7.0
2022-12-21,IM,IM2303.CFFEX,far,IM2301.CFFEX,IM2303.CFFEX,0.0,-7.0,-7.0
2023-01-06,IM,IM2301.CFFEX,near,IM2301.CFFEX,IM2301.CFFEX,7.0,0.0,-7.0
2023-01-06,IM,IM2303.CFFEX,unknown,IM2301.CFFEX,IM2301.CFFEX,-7.0,0.0,7.0
2023-01-09,IM,IM2301.CFFEX,near,IM2301.CFFEX,IM2303.CFFEX,0.0,7.0,7.0
2023-01-09,IM,IM2303.CFFEX,far,IM2301.CFFEX,IM2303.CFFEX,0.0,-7.0,-7.0
2023-01-10,IM,IM2301.CFFEX,near,IM2301.CFFEX,IM2301.CFFEX,7.0,0.0,-7.0
2023-01-10,IM,IM2303.CFFEX,unknown,IM2301.CFFEX,IM2301.CFFEX,-7.0,0.0,7.0
2023-02-01,IM,IM2303.CFFEX,near,IM2303.CFFEX,IM2306.CFFEX,0.0,7.0,7.0
2023-02-01,IM,IM2306.CFFEX,far,IM2303.CFFEX,IM2306.CFFEX,0.0,-7.0,-7.0
2023-03-15,IM,IM2303.CFFEX,near,IM2303.CFFEX,IM2303.CFFEX,7.0,0.0,-7.0
2023-03-15,IM,IM2306.CFFEX,unknown,IM2303.CFFEX,IM2303.CFFEX,-7.0,0.0,7.0
2023-05-05,IM,IM2306.CFFEX,near,IM2306.CFFEX,IM2309.CFFEX,0.0,7.0,7.0
2023-05-05,IM,IM2309.CFFEX,far,IM2306.CFFEX,IM2309.CFFEX,0.0,-7.0,-7.0
2023-06-13,IM,IM2306.CFFEX,near,IM2306.CFFEX,IM2306.CFFEX,7.0,0.0,-7.0
2023-06-13,IM,IM2309.CFFEX,unknown,IM2306.CFFEX,IM2306.CFFEX,-7.0,0.0,7.0
2023-08-10,IM,IM2309.CFFEX,near,IM2309.CFFEX,IM2312.CFFEX,0.0,7.0,7.0
2023-08-10,IM,IM2312.CFFEX,far,IM2309.CFFEX,IM2312.CFFEX,0.0,-7.0,-7.0
2023-09-12,IM,IM2309.CFFEX,near,IM2309.CFFEX,IM2309.CFFEX,7.0,0.0,-7.0
2023-09-12,IM,IM2312.CFFEX,unknown,IM2309.CFFEX,IM2309.CFFEX,-7.0,0.0,7.0
2023-11-13,IM,IM2312.CFFEX,near,IM2312.CFFEX,IM2403.CFFEX,0.0,8.0,8.0
2023-11-13,IM,IM2403.CFFEX,far,IM2312.CFFEX,IM2403.CFFEX,0.0,-8.0,-8.0
2023-12-12,IM,IM2312.CFFEX,near,IM2312.CFFEX,IM2312.CFFEX,8.0,0.0,-8.0
2023-12-12,IM,IM2403.CFFEX,unknown,IM2312.CFFEX,IM2312.CFFEX,-8.0,0.0,8.0
2024-02-05,IM,IM2403.CFFEX,near,IM2403.CFFEX,IM2406.CFFEX,0.0,12.0,12.0
2024-02-05,IM,IM2406.CFFEX,far,IM2403.CFFEX,IM2406.CFFEX,0.0,-12.0,-12.0
2024-02-06,IM,IM2403.CFFEX,near,IM2403.CFFEX,IM2402.CFFEX,12.0,0.0,-12.0
2024-02-06,IM,IM2406.CFFEX,unknown,IM2403.CFFEX,IM2402.CFFEX,-12.0,0.0,12.0
2024-02-07,IM,IM2403.CFFEX,near,IM2403.CFFEX,IM2406.CFFEX,0.0,10.0,10.0
2024-02-07,IM,IM2406.CFFEX,far,IM2403.CFFEX,IM2406.CFFEX,0.0,-10.0,-10.0
2024-03-12,IM,IM2403.CFFEX,near,IM2403.CFFEX,IM2403.CFFEX,10.0,0.0,-10.0
2024-03-12,IM,IM2406.CFFEX,unknown,IM2403.CFFEX,IM2403.CFFEX,-10.0,0.0,10.0
2024-03-14,IM,IM2403.CFFEX,near,IM2403.CFFEX,IM2404.CFFEX,0.0,9.0,9.0
2024-03-14,IM,IM2404.CFFEX,far,IM2403.CFFEX,IM2404.CFFEX,0.0,-9.0,-9.0
2024-03-15,IM,IM2403.CFFEX,unknown,IM2404.CFFEX,IM2404.CFFEX,9.0,0.0,-9.0
2024-03-15,IM,IM2404.CFFEX,near,IM2404.CFFEX,IM2404.CFFEX,-9.0,0.0,9.0
2024-03-18,IM,IM2404.CFFEX,near,IM2404.CFFEX,IM2406.CFFEX,0.0,8.0,8.0
2024-03-18,IM,IM2406.CFFEX,far,IM2404.CFFEX,IM2406.CFFEX,0.0,-8.0,-8.0
2024-03-19,IM,IM2404.CFFEX,near,IM2404.CFFEX,IM2404.CFFEX,8.0,0.0,-8.0
2024-03-19,IM,IM2406.CFFEX,unknown,IM2404.CFFEX,IM2404.CFFEX,-8.0,0.0,8.0
