datetime,vt_symbol,prev_pos,curr_pos,change,direction,price
2022-08-05,IC2209.CFFEX,0,2,2,BUY,6220.0
2022-08-05,IC2212.CFFEX,0,-2,-2,SELL,6125.4
2022-08-19,IM2209.CFFEX,0,2,2,BUY,7186.4
2022-08-19,IM2212.CFFEX,0,-2,-2,SELL,7036.2
2022-09-13,IC2209.CFFEX,2,0,-2,SELL,6292.6
2022-09-13,IC2212.CFFEX,-2,0,2,BUY,6207.0
2022-09-13,IM2209.CFFEX,2,0,-2,SELL,6891.4
2022-09-13,IM2212.CFFEX,-2,0,2,BUY,6732.0
2022-09-14,IM2209.CFFEX,0,2,2,BUY,6826.0
2022-09-14,IM2212.CFFEX,0,-2,-2,SELL,6663.0
2022-09-15,IM2209.CFFEX,2,0,-2,SELL,6596.4
2022-09-15,IM2212.CFFEX,-2,0,2,BUY,6410.0
2022-11-08,IC2212.CFFEX,0,2,2,BUY,6142.8
2022-11-08,IC2303.CFFEX,0,-2,-2,SELL,6091.0
2022-11-16,IM2212.CFFEX,0,2,2,BUY,6684.2
2022-11-16,IM2303.CFFEX,0,-2,-2,SELL,6607.4
2022-11-17,IF2212.CFFEX,0,2,2,BUY,3827.6
2022-11-17,IF2303.CFFEX,0,-2,-2,SELL,3834.0
2022-11-25,IF2212.CFFEX,2,0,-2,SELL,3782.2
2022-11-25,IF2303.CFFEX,-2,0,2,BUY,3793.8
2022-11-29,IC2212.CFFEX,2,0,-2,SELL,6172.8
2022-11-29,IC2303.CFFEX,-2,0,2,BUY,6153.4
2022-12-09,IM2212.CFFEX,2,0,-2,SELL,6684.8
2022-12-09,IM2303.CFFEX,-2,0,2,BUY,6586.8
2023-03-07,IM2303.CFFEX,0,2,2,BUY,6846.8
2023-03-07,IM2306.CFFEX,0,-2,-2,SELL,6746.2
2023-03-08,IM2303.CFFEX,2,0,-2,SELL,6871.0
2023-03-08,IM2306.CFFEX,-2,0,2,BUY,6766.0
2023-05-23,IM2306.CFFEX,0,2,2,BUY,6513.0
2023-05-23,IM2309.CFFEX,0,-2,-2,SELL,6469.4
2023-05-24,IM2306.CFFEX,2,0,-2,SELL,6497.0
2023-05-24,IM2309.CFFEX,-2,0,2,BUY,6450.4
