datetime,balance,drawdown,ddpercent,net_pnl,return
2022-07-25,10000000.0,0.0,0.0,0.0,0.0
2022-07-26,10000000.0,0.0,0.0,0.0,0.0
2022-07-27,10000000.0,0.0,0.0,0.0,0.0
2022-07-28,10000000.0,0.0,0.0,0.0,0.0
2022-07-29,10000000.0,0.0,0.0,0.0,0.0
2022-08-01,10000000.0,0.0,0.0,0.0,0.0
2022-08-02,10000000.0,0.0,0.0,0.0,0.0
2022-08-03,10000000.0,0.0,0.0,0.0,0.0
2022-08-04,10000000.0,0.0,0.0,0.0,0.0
2022-08-05,10000000.0,0.0,0.0,0.0,0.0
2022-08-08,10010373.743999999,0.0,0.0,10373.743999999857,0.0010373743999998464
2022-08-09,10009573.743999999,-800.0,-7.991709605043494e-05,-800.0,-7.99170960504858e-05
2022-08-10,10008773.743999999,-1600.0,-0.00015983419210086988,-800.0,-7.99234833031015e-05
2022-08-11,10008773.743999999,-1600.0,-0.00015983419210086988,0.0,0.0
2022-08-12,10011013.744,0.0,0.0,2240.0000000001455,0.0002238036404154098
2022-08-15,10010693.743999999,-320.00000000186265,-3.196479479349945e-05,-320.00000000043656,-3.1964794793504225e-05
2022-08-16,10011813.744,0.0,0.0,1120.0000000004366,0.00011188035800957508
2022-08-17,10012293.744,0.0,0.0,480.00000000029104,4.794336094082752e-05
2022-08-18,10007173.743999999,-5120.000000001863,-0.0005113713331742879,-5120.000000000437,-0.0005113713331742487
2022-08-19,10006533.743999999,-5760.000000001863,-0.0005752927498210507,-640.0000000001455,-6.395412095083763e-05
2022-08-22,10014001.564000001,0.0,0.0,7467.820000001164,0.0007462943903506769
2022-08-23,10006481.564,-7520.000000001863,-0.0007509485545754267,-7520.000000001164,-0.0007509485545754702
2022-08-24,10002681.564,-11320.000000001863,-0.0011304172390682345,-3800.0000000001746,-0.00037975386010513645
2022-08-25,10003721.564,-10280.000000001863,-0.0010265626517333606,1040.0000000005093,0.00010397211921087113
2022-08-26,10005361.564,-8640.000000001863,-0.0008627919563206752,1639.9999999997817,0.00016393898905597837
2022-08-29,10007281.564,-6720.000000001863,-0.0006710604104716776,1920.0000000002547,0.00019189711313472024
2022-08-30,10005681.564,-8320.000000001863,-0.0008308366986791757,-1600.0,-0.0001598835797481657
2022-08-31,10005801.564,-8200.000000001863,-0.0008188534770636133,120.00000000008731,1.1993185994541022e-05
2022-09-01,10004121.564,-9880.000000001863,-0.0009866185796814863,-1680.0000000001091,-0.0001679025902376896
2022-09-02,10001921.564,-12080.000000001863,-0.001206310975966796,-2200.0,-0.00021990936294868924
2022-09-05,10006401.564,-7600.000000001863,-0.0007589373689858015,4479.999999999927,0.00044791393047161066
2022-09-06,10007121.564,-6880.000000001863,-0.0006870380392924274,720.0000000000728,7.195393822589935e-05
2022-09-07,10003841.564000001,-10160.0,-0.0010145794301176124,-3279.9999999995634,-0.00032776657893296424
2022-09-08,10003881.564,-10120.000000001863,-0.0010105850229126109,39.99999999959982,3.998463964371979e-06
