datetime,product,vt_symbol,role,near,far,prev_pos,curr_pos,change,direction,price
2022-08-05,IC,IC2209.CFFEX,near,IC2209.CFFEX,IC2212.CFFEX,0,4,4,BUY,6220.0
2022-08-05,IC,IC2212.CFFEX,far,IC2209.CFFEX,IC2212.CFFEX,0,-4,-4,SELL,6125.4
2022-08-19,IM,IM2209.CFFEX,near,IM2209.CFFEX,IM2212.CFFEX,0,3,3,BUY,7186.4
2022-08-19,IM,IM2212.CFFEX,far,IM2209.CFFEX,IM2212.CFFEX,0,-3,-3,SELL,7036.2
2022-09-13,IC,IC2209.CFFEX,near,IC2209.CFFEX,IC2209.CFFEX,4,0,-4,SELL,6292.6
2022-09-13,IC,IC2212.CFFEX,unknown,IC2209.CFFEX,IC2209.CFFEX,-4,0,4,BUY,6207.0
2022-09-13,IM,IM2209.CFFEX,near,IM2209.CFFEX,IM2212.CFFEX,3,0,-3,SELL,6891.4
2022-09-13,IM,IM2212.CFFEX,far,IM2209.CFFEX,IM2212.CFFEX,-3,0,3,BUY,6732.0
2022-09-14,IM,IM2209.CFFEX,near,IM2209.CFFEX,IM2212.CFFEX,0,3,3,BUY,6826.0
2022-09-14,IM,IM2212.CFFEX,far,IM2209.CFFEX,IM2212.CFFEX,0,-3,-3,SELL,6663.0
2022-09-15,IM,IM2209.CFFEX,near,IM2209.CFFEX,IM2212.CFFEX,3,0,-3,SELL,6596.4
2022-09-15,IM,IM2212.CFFEX,far,IM2209.CFFEX,IM2212.CFFEX,-3,0,3,BUY,6410.0
2022-11-08,IC,IC2212.CFFEX,near,IC2212.CFFEX,IC2303.CFFEX,0,4,4,BUY,6142.8
2022-11-08,IC,IC2303.CFFEX,far,IC2212.CFFEX,IC2303.CFFEX,0,-4,-4,SELL,6091.0
2022-11-16,IM,IM2212.CFFEX,near,IM2212.CFFEX,IM2303.CFFEX,0,3,3,BUY,6684.2
2022-11-16,IM,IM2303.CFFEX,far,IM2212.CFFEX,IM2303.CFFEX,0,-3,-3,SELL,6607.4
2022-11-29,IC,IC2212.CFFEX,near,IC2212.CFFEX,IC2303.CFFEX,4,0,-4,SELL,6172.8
2022-11-29,IC,IC2303.CFFEX,far,IC2212.CFFEX,IC2303.CFFEX,-4,0,4,BUY,6153.4
2022-12-09,IM,IM2212.CFFEX,near,IM2212.CFFEX,IM2303.CFFEX,3,0,-3,SELL,6684.8
2022-12-09,IM,IM2303.CFFEX,far,IM2212.CFFEX,IM2303.CFFEX,-3,0,3,BUY,6586.8
2023-03-07,IM,IM2303.CFFEX,near,IM2303.CFFEX,IM2306.CFFEX,0,3,3,BUY,6846.8
2023-03-07,IM,IM2306.CFFEX,far,IM2303.CFFEX,IM2306.CFFEX,0,-3,-3,SELL,6746.2
2023-03-08,IM,IM2303.CFFEX,near,IM2303.CFFEX,IM2306.CFFEX,3,0,-3,SELL,6871.0
2023-03-08,IM,IM2306.CFFEX,far,IM2303.CFFEX,IM2306.CFFEX,-3,0,3,BUY,6766.0
2023-05-23,IM,IM2306.CFFEX,near,IM2306.CFFEX,IM2309.CFFEX,0,3,3,BUY,6513.0
2023-05-23,IM,IM2309.CFFEX,far,IM2306.CFFEX,IM2309.CFFEX,0,-3,-3,SELL,6469.4
2023-05-24,IM,IM2306.CFFEX,near,IM2306.CFFEX,IM2309.CFFEX,3,0,-3,SELL,6497.0
2023-05-24,IM,IM2309.CFFEX,far,IM2306.CFFEX,IM2309.CFFEX,-3,0,3,BUY,6450.4
2023-08-29,IC,IC2309.CFFEX,near,IC2309.CFFEX,IC2312.CFFEX,0,4,4,BUY,5771.2
2023-08-29,IC,IC2312.CFFEX,far,IC2309.CFFEX,IC2312.CFFEX,0,-4,-4,SELL,5771.4
2023-08-29,IM,IM2309.CFFEX,near,IM2309.CFFEX,IM2312.CFFEX,0,4,4,BUY,6099.2
2023-08-29,IM,IM2312.CFFEX,far,IM2309.CFFEX,IM2312.CFFEX,0,-4,-4,SELL,6092.0
2023-09-11,IC,IC2309.CFFEX,near,IC2309.CFFEX,IC2312.CFFEX,4,0,-4,SELL,5760.0
2023-09-11,IC,IC2312.CFFEX,far,IC2309.CFFEX,IC2312.CFFEX,-4,0,4,BUY,5749.0
2023-09-11,IM,IM2309.CFFEX,near,IM2309.CFFEX,IM2312.CFFEX,4,0,-4,SELL,6165.0
2023-09-11,IM,IM2312.CFFEX,far,IM2309.CFFEX,IM2312.CFFEX,-4,0,4,BUY,6144.6
2023-11-08,IC,IC2312.CFFEX,near,IC2312.CFFEX,IC2403.CFFEX,0,4,4,BUY,5587.8
2023-11-08,IC,IC2403.CFFEX,far,IC2312.CFFEX,IC2403.CFFEX,0,-4,-4,SELL,5570.2
2023-11-13,IM,IM2312.CFFEX,near,IM2312.CFFEX,IM2403.CFFEX,0,4,4,BUY,6092.2
2023-11-13,IM,IM2403.CFFEX,far,IM2312.CFFEX,IM2403.CFFEX,0,-4,-4,SELL,6039.6
2023-11-20,IC,IC2312.CFFEX,near,IC2312.CFFEX,IC2403.CFFEX,4,0,-4,SELL,5633.0
2023-11-20,IC,IC2403.CFFEX,far,IC2312.CFFEX,IC2403.CFFEX,-4,0,4,BUY,5595.8
2023-11-20,IM,IM2312.CFFEX,near,IM2312.CFFEX,IM2403.CFFEX,4,0,-4,SELL,6213.8
2023-11-20,IM,IM2403.CFFEX,far,IM2312.CFFEX,IM2403.CFFEX,-4,0,4,BUY,6128.2
2023-11-21,IM,IM2312.CFFEX,near,IM2312.CFFEX,IM2403.CFFEX,0,4,4,BUY,6161.8
2023-11-21,IM,IM2403.CFFEX,far,IM2312.CFFEX,IM2403.CFFEX,0,-4,-4,SELL,6084.0
2023-12-01,IM,IM2312.CFFEX,near,IM2312.CFFEX,IM2403.CFFEX,4,0,-4,SELL,6092.2
2023-12-01,IM,IM2403.CFFEX,far,IM2312.CFFEX,IM2403.CFFEX,-4,0,4,BUY,5997.6
2024-02-01,IC,IC2403.CFFEX,near,IC2403.CFFEX,IC2406.CFFEX,0,5,5,BUY,4596.0
2024-02-01,IC,IC2406.CFFEX,far,IC2403.CFFEX,IC2406.CFFEX,0,-5,-5,SELL,4488.0
2024-02-05,IM,IM2403.CFFEX,near,IM2403.CFFEX,IM2406.CFFEX,0,6,6,BUY,4044.6
2024-02-05,IM,IM2406.CFFEX,far,IM2403.CFFEX,IM2406.CFFEX,0,-6,-6,SELL,3922.6
2024-02-06,IM,IM2403.CFFEX,near,IM2403.CFFEX,IM2402.CFFEX,6,0,-6,SELL,4568.4
2024-02-06,IM,IM2406.CFFEX,unknown,IM2403.CFFEX,IM2402.CFFEX,-6,0,6,BUY,4454.0
2024-02-07,IM,IM2403.CFFEX,near,IM2403.CFFEX,IM2406.CFFEX,0,5,5,BUY,4793.0
2024-02-07,IM,IM2406.CFFEX,far,IM2403.CFFEX,IM2406.CFFEX,0,-5,-5,SELL,4715.0
2024-03-11,IC,IC2403.CFFEX,near,IC2403.CFFEX,IC2403.CFFEX,5,0,-5,SELL,5456.2
2024-03-11,IC,IC2406.CFFEX,unknown,IC2403.CFFEX,IC2403.CFFEX,-5,0,5,BUY,5376.0
2024-03-11,IM,IM2403.CFFEX,near,IM2403.CFFEX,IM2406.CFFEX,5,0,-5,SELL,5463.0
2024-03-11,IM,IM2406.CFFEX,far,IM2403.CFFEX,IM2406.CFFEX,-5,0,5,BUY,5319.6
2024-05-06,IC,IC2406.CFFEX,near,IC2406.CFFEX,IC2409.CFFEX,0,4,4,BUY,5496.4
2024-05-06,IC,IC2409.CFFEX,far,IC2406.CFFEX,IC2409.CFFEX,0,-4,-4,SELL,5448.4
2024-05-06,IM,IM2406.CFFEX,near,IM2406.CFFEX,IM2409.CFFEX,0,4,4,BUY,5548.6
2024-05-06,IM,IM2409.CFFEX,far,IM2406.CFFEX,IM2409.CFFEX,0,-4,-4,SELL,5461.8
2024-05-30,IC,IC2406.CFFEX,near,IC2406.CFFEX,IC2409.CFFEX,4,0,-4,SELL,5287.0
2024-05-30,IC,IC2409.CFFEX,far,IC2406.CFFEX,IC2409.CFFEX,-4,0,4,BUY,5227.4
2024-06-04,IC,IC2406.CFFEX,near,IC2406.CFFEX,IC2409.CFFEX,0,4,4,BUY,5307.2
2024-06-04,IC,IC2409.CFFEX,far,IC2406.CFFEX,IC2409.CFFEX,0,-4,-4,SELL,5242.2
2024-06-05,IC,IC2406.CFFEX,near,IC2406.CFFEX,IC2409.CFFEX,4,0,-4,SELL,5247.6
2024-06-05,IC,IC2409.CFFEX,far,IC2406.CFFEX,IC2409.CFFEX,-4,0,4,BUY,5184.0
2024-06-17,IM,IM2406.CFFEX,near,IM2406.CFFEX,IM2409.CFFEX,4,0,-4,SELL,5173.8
2024-06-17,IM,IM2409.CFFEX,far,IM2406.CFFEX,IM2409.CFFEX,-4,0,4,BUY,5044.0
2024-08-01,IC,IC2409.CFFEX,near,IC2409.CFFEX,IC2412.CFFEX,0,5,5,BUY,4821.2
2024-08-01,IC,IC2412.CFFEX,far,IC2409.CFFEX,IC2412.CFFEX,0,-5,-5,SELL,4761.8
2024-08-13,IM,IM2409.CFFEX,near,IM2409.CFFEX,IM2412.CFFEX,0,5,5,BUY,4639.0
2024-08-13,IM,IM2412.CFFEX,far,IM2409.CFFEX,IM2412.CFFEX,0,-5,-5,SELL,4539.4
2024-08-28,IC,IC2409.CFFEX,near,IC2409.CFFEX,IC2412.CFFEX,5,0,-5,SELL,4483.0
2024-08-28,IC,IC2412.CFFEX,far,IC2409.CFFEX,IC2412.CFFEX,-5,0,5,BUY,4426.0
2024-08-29,IC,IC2409.CFFEX,near,IC2409.CFFEX,IC2412.CFFEX,0,5,5,BUY,4547.2
2024-08-29,IC,IC2412.CFFEX,far,IC2409.CFFEX,IC2412.CFFEX,0,-5,-5,SELL,4491.6
2024-09-13,IC,IC2409.CFFEX,near,IC2409.CFFEX,IC2409.CFFEX,5,0,-5,SELL,4444.8
2024-09-13,IC,IC2412.CFFEX,unknown,IC2409.CFFEX,IC2409.CFFEX,-5,0,5,BUY,4376.6
2024-09-18,IM,IM2409.CFFEX,near,IM2409.CFFEX,IM2409.CFFEX,5,0,-5,SELL,4405.0
2024-09-18,IM,IM2412.CFFEX,unknown,IM2409.CFFEX,IM2409.CFFEX,-5,0,5,BUY,4290.6
2024-11-01,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2503.CFFEX,0,4,4,BUY,5821.0
2024-11-01,IC,IC2503.CFFEX,far,IC2412.CFFEX,IC2503.CFFEX,0,-4,-4,SELL,5769.6
2024-11-01,IM,IM2412.CFFEX,near,IM2412.CFFEX,IM2503.CFFEX,0,4,4,BUY,5890.0
2024-11-01,IM,IM2503.CFFEX,far,IM2412.CFFEX,IM2503.CFFEX,0,-4,-4,SELL,5809.0
2024-12-16,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2503.CFFEX,4,0,-4,SELL,5908.0
2024-12-16,IC,IC2503.CFFEX,far,IC2412.CFFEX,IC2503.CFFEX,-4,0,4,BUY,5828.2
2024-12-16,IM,IM2412.CFFEX,near,IM2412.CFFEX,IM2503.CFFEX,4,0,-4,SELL,6263.4
2024-12-16,IM,IM2503.CFFEX,far,IM2412.CFFEX,IM2503.CFFEX,-4,0,4,BUY,6142.0
2025-02-05,IC,IC2503.CFFEX,near,IC2503.CFFEX,IC2506.CFFEX,0,4,4,BUY,5567.8
2025-02-05,IC,IC2506.CFFEX,far,IC2503.CFFEX,IC2506.CFFEX,0,-4,-4,SELL,5470.4
2025-02-11,IM,IM2503.CFFEX,near,IM2503.CFFEX,IM2506.CFFEX,0,4,4,BUY,6133.2
2025-02-11,IM,IM2506.CFFEX,far,IM2503.CFFEX,IM2506.CFFEX,0,-4,-4,SELL,6005.6
2025-03-17,IC,IC2503.CFFEX,near,IC2503.CFFEX,IC2506.CFFEX,4,0,-4,SELL,6083.0
2025-03-17,IC,IC2506.CFFEX,far,IC2503.CFFEX,IC2506.CFFEX,-4,0,4,BUY,5938.0
2025-03-17,IM,IM2503.CFFEX,near,IM2503.CFFEX,IM2506.CFFEX,4,0,-4,SELL,6543.4
2025-03-17,IM,IM2506.CFFEX,far,IM2503.CFFEX,IM2506.CFFEX,-4,0,4,BUY,6337.6
2025-03-18,IM,IM2503.CFFEX,near,IM2503.CFFEX,IM2506.CFFEX,0,3,3,BUY,6577.0
2025-03-18,IM,IM2506.CFFEX,far,IM2503.CFFEX,IM2506.CFFEX,0,-3,-3,SELL,6369.4
2025-03-19,IM,IM2503.CFFEX,near,IM2503.CFFEX,IM2506.CFFEX,3,0,-3,SELL,6550.0
2025-03-19,IM,IM2506.CFFEX,far,IM2503.CFFEX,IM2506.CFFEX,-3,0,3,BUY,6339.2
2025-05-06,IM,IM2506.CFFEX,near,IM2506.CFFEX,IM2509.CFFEX,0,4,4,BUY,5953.2
2025-05-06,IM,IM2509.CFFEX,far,IM2506.CFFEX,IM2509.CFFEX,0,-4,-4,SELL,5774.0
2025-05-22,IM,IM2506.CFFEX,near,IM2506.CFFEX,IM2509.CFFEX,4,0,-4,SELL,5950.0
2025-05-22,IM,IM2509.CFFEX,far,IM2506.CFFEX,IM2509.CFFEX,-4,0,4,BUY,5708.2
2025-05-29,IM,IM2506.CFFEX,near,IM2506.CFFEX,IM2509.CFFEX,0,4,4,BUY,6031.0
2025-05-29,IM,IM2509.CFFEX,far,IM2506.CFFEX,IM2509.CFFEX,0,-4,-4,SELL,5785.2
2025-06-12,IM,IM2506.CFFEX,near,IM2506.CFFEX,IM2509.CFFEX,4,0,-4,SELL,6156.8
2025-06-12,IM,IM2509.CFFEX,far,IM2506.CFFEX,IM2509.CFFEX,-4,0,4,BUY,5896.6
2025-08-14,IC,IC2509.CFFEX,near,IC2509.CFFEX,IC2512.CFFEX,0,3,3,BUY,6380.2
2025-08-14,IC,IC2512.CFFEX,far,IC2509.CFFEX,IC2512.CFFEX,0,-3,-3,SELL,6243.0
2025-08-14,IM,IM2509.CFFEX,near,IM2509.CFFEX,IM2512.CFFEX,0,3,3,BUY,6929.2
2025-08-14,IM,IM2512.CFFEX,far,IM2509.CFFEX,IM2512.CFFEX,0,-3,-3,SELL,6755.0
2025-09-15,IC,IC2509.CFFEX,near,IC2509.CFFEX,IC2509.CFFEX,3,0,-3,SELL,7114.2
2025-09-15,IC,IC2512.CFFEX,unknown,IC2509.CFFEX,IC2509.CFFEX,-3,0,3,BUY,6939.4
2025-09-15,IM,IM2509.CFFEX,near,IM2509.CFFEX,IM2512.CFFEX,3,0,-3,SELL,7368.6
2025-09-15,IM,IM2512.CFFEX,far,IM2509.CFFEX,IM2512.CFFEX,-3,0,3,BUY,7143.2
2025-11-03,IC,IC2512.CFFEX,near,IC2512.CFFEX,IC2603.CFFEX,0,3,3,BUY,7239.6
2025-11-03,IC,IC2603.CFFEX,far,IC2512.CFFEX,IC2603.CFFEX,0,-3,-3,SELL,7081.4
2025-11-03,IM,IM2512.CFFEX,near,IM2512.CFFEX,IM2603.CFFEX,0,3,3,BUY,7398.0
2025-11-03,IM,IM2603.CFFEX,far,IM2512.CFFEX,IM2603.CFFEX,0,-3,-3,SELL,7193.0
2025-11-18,IM,IM2512.CFFEX,near,IM2512.CFFEX,IM2603.CFFEX,3,0,-3,SELL,7351.8
2025-11-18,IM,IM2603.CFFEX,far,IM2512.CFFEX,IM2603.CFFEX,-3,0,3,BUY,7116.8
2025-11-21,IM,IM2512.CFFEX,near,IM2512.CFFEX,IM2603.CFFEX,0,3,3,BUY,7018.2
2025-11-21,IM,IM2603.CFFEX,far,IM2512.CFFEX,IM2603.CFFEX,0,-3,-3,SELL,6802.8
2025-12-15,IC,IC2512.CFFEX,near,IC2512.CFFEX,IC2512.CFFEX,3,0,-3,SELL,7115.8
2025-12-15,IC,IC2603.CFFEX,unknown,IC2512.CFFEX,IC2512.CFFEX,-3,0,3,BUY,6940.8
2025-12-15,IM,IM2512.CFFEX,near,IM2512.CFFEX,IM2603.CFFEX,3,0,-3,SELL,7308.0
2025-12-15,IM,IM2603.CFFEX,far,IM2512.CFFEX,IM2603.CFFEX,-3,0,3,BUY,7073.0
2026-02-02,IC,IC2603.CFFEX,near,IC2603.CFFEX,IC2606.CFFEX,0,3,3,BUY,7903.2
2026-02-02,IC,IC2606.CFFEX,far,IC2603.CFFEX,IC2606.CFFEX,0,-3,-3,SELL,7765.2
2026-02-02,IM,IM2603.CFFEX,near,IM2603.CFFEX,IM2606.CFFEX,0,3,3,BUY,7871.8
2026-02-02,IM,IM2606.CFFEX,far,IM2603.CFFEX,IM2606.CFFEX,0,-3,-3,SELL,7701.6
2026-03-11,IC,IC2603.CFFEX,near,IC2603.CFFEX,IC2603.CFFEX,3,0,-3,SELL,8360.0
2026-03-11,IC,IC2606.CFFEX,unknown,IC2603.CFFEX,IC2603.CFFEX,-3,0,3,BUY,8199.4
2026-03-13,IM,IM2603.CFFEX,near,IM2603.CFFEX,IM2603.CFFEX,3,0,-3,SELL,8187.0
2026-03-13,IM,IM2606.CFFEX,unknown,IM2603.CFFEX,IM2603.CFFEX,-3,0,3,BUY,7951.2
2026-05-06,IC,IC2606.CFFEX,near,IC2606.CFFEX,IC2609.CFFEX,0,2,2,BUY,8497.6
2026-05-06,IC,IC2609.CFFEX,far,IC2606.CFFEX,IC2609.CFFEX,0,-2,-2,SELL,8367.2
2026-05-06,IM,IM2606.CFFEX,near,IM2606.CFFEX,IM2609.CFFEX,0,2,2,BUY,8461.6
2026-05-06,IM,IM2609.CFFEX,far,IM2606.CFFEX,IM2609.CFFEX,0,-2,-2,SELL,8268.2
2026-06-15,IC,IC2606.CFFEX,near,IC2606.CFFEX,IC2606.CFFEX,2,0,-2,SELL,8384.8
2026-06-15,IC,IC2609.CFFEX,unknown,IC2606.CFFEX,IC2606.CFFEX,-2,0,2,BUY,8206.6
2026-06-15,IM,IM2606.CFFEX,near,IM2606.CFFEX,IM2606.CFFEX,2,0,-2,SELL,8475.2
2026-06-15,IM,IM2609.CFFEX,unknown,IM2606.CFFEX,IM2606.CFFEX,-2,0,2,BUY,8244.6
