datetime,product,vt_symbol,role,near,far,prev_pos,curr_pos,change,direction,price
2022-08-05,IC,IC2209.CFFEX,near,IC2209.CFFEX,IC2212.CFFEX,0,8,8,BUY,6220.0
2022-08-05,IC,IC2212.CFFEX,far,IC2209.CFFEX,IC2212.CFFEX,0,-8,-8,SELL,6125.4
2022-09-13,IC,IC2209.CFFEX,near,IC2209.CFFEX,IC2209.CFFEX,8,0,-8,SELL,6292.6
2022-09-13,IC,IC2212.CFFEX,unknown,IC2209.CFFEX,IC2209.CFFEX,-8,0,8,BUY,6207.0
2022-11-08,IC,IC2212.CFFEX,near,IC2212.CFFEX,IC2303.CFFEX,0,8,8,BUY,6142.8
2022-11-08,IC,IC2303.CFFEX,far,IC2212.CFFEX,IC2303.CFFEX,0,-8,-8,SELL,6091.0
2022-11-29,IC,IC2212.CFFEX,near,IC2212.CFFEX,IC2303.CFFEX,8,0,-8,SELL,6172.8
2022-11-29,IC,IC2303.CFFEX,far,IC2212.CFFEX,IC2303.CFFEX,-8,0,8,BUY,6153.4
2023-08-29,IC,IC2309.CFFEX,near,IC2309.CFFEX,IC2312.CFFEX,0,8,8,BUY,5771.2
2023-08-29,IC,IC2312.CFFEX,far,IC2309.CFFEX,IC2312.CFFEX,0,-8,-8,SELL,5771.4
2023-09-11,IC,IC2309.CFFEX,near,IC2309.CFFEX,IC2312.CFFEX,8,0,-8,SELL,5760.0
2023-09-11,IC,IC2312.CFFEX,far,IC2309.CFFEX,IC2312.CFFEX,-8,0,8,BUY,5749.0
2023-11-08,IC,IC2312.CFFEX,near,IC2312.CFFEX,IC2403.CFFEX,0,-8,-8,SELL,5587.8
2023-11-08,IC,IC2403.CFFEX,far,IC2312.CFFEX,IC2403.CFFEX,0,8,8,BUY,5570.2
2023-11-20,IC,IC2312.CFFEX,near,IC2312.CFFEX,IC2403.CFFEX,-8,0,8,BUY,5633.0
2023-11-20,IC,IC2403.CFFEX,far,IC2312.CFFEX,IC2403.CFFEX,8,0,-8,SELL,5595.8
2024-02-01,IC,IC2403.CFFEX,near,IC2403.CFFEX,IC2406.CFFEX,0,-10,-10,SELL,4596.0
2024-02-01,IC,IC2406.CFFEX,far,IC2403.CFFEX,IC2406.CFFEX,0,10,10,BUY,4488.0
2024-02-07,IC,IC2403.CFFEX,near,IC2403.CFFEX,IC2406.CFFEX,-10,9,19,BUY,5128.6
2024-02-07,IC,IC2406.CFFEX,far,IC2403.CFFEX,IC2406.CFFEX,10,-9,-19,SELL,5062.0
2024-03-11,IC,IC2403.CFFEX,near,IC2403.CFFEX,IC2403.CFFEX,9,0,-9,SELL,5456.2
2024-03-11,IC,IC2406.CFFEX,unknown,IC2403.CFFEX,IC2403.CFFEX,-9,0,9,BUY,5376.0
2024-05-06,IC,IC2406.CFFEX,near,IC2406.CFFEX,IC2409.CFFEX,0,9,9,BUY,5496.4
2024-05-06,IC,IC2409.CFFEX,far,IC2406.CFFEX,IC2409.CFFEX,0,-9,-9,SELL,5448.4
2024-05-30,IC,IC2406.CFFEX,near,IC2406.CFFEX,IC2409.CFFEX,9,0,-9,SELL,5287.0
2024-05-30,IC,IC2409.CFFEX,far,IC2406.CFFEX,IC2409.CFFEX,-9,0,9,BUY,5227.4
2024-06-04,IC,IC2406.CFFEX,near,IC2406.CFFEX,IC2409.CFFEX,0,9,9,BUY,5307.2
2024-06-04,IC,IC2409.CFFEX,far,IC2406.CFFEX,IC2409.CFFEX,0,-9,-9,SELL,5242.2
2024-06-05,IC,IC2406.CFFEX,near,IC2406.CFFEX,IC2409.CFFEX,9,0,-9,SELL,5247.6
2024-06-05,IC,IC2409.CFFEX,far,IC2406.CFFEX,IC2409.CFFEX,-9,0,9,BUY,5184.0
2024-08-01,IC,IC2409.CFFEX,near,IC2409.CFFEX,IC2412.CFFEX,0,10,10,BUY,4821.2
2024-08-01,IC,IC2412.CFFEX,far,IC2409.CFFEX,IC2412.CFFEX,0,-10,-10,SELL,4761.8
2024-08-28,IC,IC2409.CFFEX,near,IC2409.CFFEX,IC2412.CFFEX,10,0,-10,SELL,4483.0
2024-08-28,IC,IC2412.CFFEX,far,IC2409.CFFEX,IC2412.CFFEX,-10,0,10,BUY,4426.0
2024-08-29,IC,IC2409.CFFEX,near,IC2409.CFFEX,IC2412.CFFEX,0,10,10,BUY,4547.2
2024-08-29,IC,IC2412.CFFEX,far,IC2409.CFFEX,IC2412.CFFEX,0,-10,-10,SELL,4491.6
2024-09-11,IC,IC2409.CFFEX,near,IC2409.CFFEX,IC2412.CFFEX,10,-11,-21,SELL,4509.2
2024-09-11,IC,IC2412.CFFEX,far,IC2409.CFFEX,IC2412.CFFEX,-10,11,21,BUY,4436.6
2024-09-13,IC,IC2409.CFFEX,near,IC2409.CFFEX,IC2409.CFFEX,-11,0,11,BUY,4444.8
2024-09-13,IC,IC2412.CFFEX,unknown,IC2409.CFFEX,IC2409.CFFEX,11,0,-11,SELL,4376.6
2024-11-01,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2503.CFFEX,0,8,8,BUY,5821.0
2024-11-01,IC,IC2503.CFFEX,far,IC2412.CFFEX,IC2503.CFFEX,0,-8,-8,SELL,5769.6
2024-11-12,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2503.CFFEX,8,-8,-16,SELL,6184.0
2024-11-12,IC,IC2503.CFFEX,far,IC2412.CFFEX,IC2503.CFFEX,-8,8,16,BUY,6108.8
2024-11-15,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2503.CFFEX,-8,8,16,BUY,5913.2
2024-11-15,IC,IC2503.CFFEX,far,IC2412.CFFEX,IC2503.CFFEX,8,-8,-16,SELL,5853.4
2024-11-20,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2503.CFFEX,8,-8,-16,SELL,5943.8
2024-11-20,IC,IC2503.CFFEX,far,IC2412.CFFEX,IC2503.CFFEX,-8,8,16,BUY,5867.0
2024-11-27,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2503.CFFEX,-8,8,16,BUY,5767.6
2024-11-27,IC,IC2503.CFFEX,far,IC2412.CFFEX,IC2503.CFFEX,8,-8,-16,SELL,5695.2
2024-12-05,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2503.CFFEX,8,-8,-16,SELL,5878.0
2024-12-05,IC,IC2503.CFFEX,far,IC2412.CFFEX,IC2503.CFFEX,-8,8,16,BUY,5793.2
2024-12-10,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2503.CFFEX,-8,8,16,BUY,5991.4
2024-12-10,IC,IC2503.CFFEX,far,IC2412.CFFEX,IC2503.CFFEX,8,-8,-16,SELL,5909.8
2024-12-13,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2503.CFFEX,8,-8,-16,SELL,5998.2
2024-12-13,IC,IC2503.CFFEX,far,IC2412.CFFEX,IC2503.CFFEX,-8,8,16,BUY,5911.0
2024-12-16,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2503.CFFEX,-8,8,16,BUY,5908.0
2024-12-16,IC,IC2503.CFFEX,far,IC2412.CFFEX,IC2503.CFFEX,8,-8,-16,SELL,5828.2
2024-12-17,IC,IC2412.CFFEX,near,IC2412.CFFEX,IC2412.CFFEX,8,0,-8,SELL,5850.8
2024-12-17,IC,IC2503.CFFEX,unknown,IC2412.CFFEX,IC2412.CFFEX,-8,0,8,BUY,5772.4
2025-02-05,IC,IC2503.CFFEX,near,IC2503.CFFEX,IC2506.CFFEX,0,-8,-8,SELL,5567.8
2025-02-05,IC,IC2506.CFFEX,far,IC2503.CFFEX,IC2506.CFFEX,0,8,8,BUY,5470.4
2025-02-21,IC,IC2503.CFFEX,near,IC2503.CFFEX,IC2506.CFFEX,-8,8,16,BUY,6028.8
2025-02-21,IC,IC2506.CFFEX,far,IC2503.CFFEX,IC2506.CFFEX,8,-8,-16,SELL,5916.0
2025-02-25,IC,IC2503.CFFEX,near,IC2503.CFFEX,IC2506.CFFEX,8,-8,-16,SELL,5950.4
2025-02-25,IC,IC2506.CFFEX,far,IC2503.CFFEX,IC2506.CFFEX,-8,8,16,BUY,5832.0
2025-03-03,IC,IC2503.CFFEX,near,IC2503.CFFEX,IC2506.CFFEX,-8,8,16,BUY,5847.2
2025-03-03,IC,IC2506.CFFEX,far,IC2503.CFFEX,IC2506.CFFEX,8,-8,-16,SELL,5720.0
2025-03-04,IC,IC2503.CFFEX,near,IC2503.CFFEX,IC2506.CFFEX,8,-8,-16,SELL,5896.4
2025-03-04,IC,IC2506.CFFEX,far,IC2503.CFFEX,IC2506.CFFEX,-8,8,16,BUY,5763.2
2025-03-06,IC,IC2503.CFFEX,near,IC2503.CFFEX,IC2506.CFFEX,-8,8,16,BUY,6020.0
2025-03-06,IC,IC2506.CFFEX,far,IC2503.CFFEX,IC2506.CFFEX,8,-8,-16,SELL,5885.0
2025-03-11,IC,IC2503.CFFEX,near,IC2503.CFFEX,IC2506.CFFEX,8,-8,-16,SELL,6011.0
2025-03-11,IC,IC2506.CFFEX,far,IC2503.CFFEX,IC2506.CFFEX,-8,8,16,BUY,5856.8
2025-03-14,IC,IC2503.CFFEX,near,IC2503.CFFEX,IC2506.CFFEX,-8,8,16,BUY,6096.2
2025-03-14,IC,IC2506.CFFEX,far,IC2503.CFFEX,IC2506.CFFEX,8,-8,-16,SELL,5955.0
2025-03-17,IC,IC2503.CFFEX,near,IC2503.CFFEX,IC2506.CFFEX,8,0,-8,SELL,6083.0
2025-03-17,IC,IC2506.CFFEX,far,IC2503.CFFEX,IC2506.CFFEX,-8,0,8,BUY,5938.0
2025-08-14,IC,IC2509.CFFEX,near,IC2509.CFFEX,IC2512.CFFEX,0,7,7,BUY,6380.2
2025-08-14,IC,IC2512.CFFEX,far,IC2509.CFFEX,IC2512.CFFEX,0,-7,-7,SELL,6243.0
2025-09-15,IC,IC2509.CFFEX,near,IC2509.CFFEX,IC2509.CFFEX,7,0,-7,SELL,7114.2
2025-09-15,IC,IC2512.CFFEX,unknown,IC2509.CFFEX,IC2509.CFFEX,-7,0,7,BUY,6939.4
2025-11-03,IC,IC2512.CFFEX,near,IC2512.CFFEX,IC2603.CFFEX,0,6,6,BUY,7239.6
2025-11-03,IC,IC2603.CFFEX,far,IC2512.CFFEX,IC2603.CFFEX,0,-6,-6,SELL,7081.4
2025-12-11,IC,IC2512.CFFEX,near,IC2512.CFFEX,IC2603.CFFEX,6,-7,-13,SELL,7074.4
2025-12-11,IC,IC2603.CFFEX,far,IC2512.CFFEX,IC2603.CFFEX,-6,7,13,BUY,6894.0
2025-12-12,IC,IC2512.CFFEX,near,IC2512.CFFEX,IC2603.CFFEX,-7,6,13,BUY,7174.0
