datetime,balance,drawdown,ddpercent,net_pnl,return
2022-07-25,10000000.0,0.0,0.0,0.0,0.0
2022-07-26,10000000.0,0.0,0.0,0.0,0.0
2022-07-27,10000000.0,0.0,0.0,0.0,0.0
2022-07-28,10000000.0,0.0,0.0,0.0,0.0
2022-07-29,10000000.0,0.0,0.0,0.0,0.0
2022-08-01,10000000.0,0.0,0.0,0.0,0.0
2022-08-02,10000000.0,0.0,0.0,0.0,0.0
2022-08-03,10000000.0,0.0,0.0,0.0,0.0
2022-08-04,10000000.0,0.0,0.0,0.0,0.0
2022-08-05,10000000.0,0.0,0.0,0.0,0.0
2022-08-08,10000000.0,0.0,0.0,0.0,0.0
2022-08-09,10000000.0,0.0,0.0,0.0,0.0
2022-08-10,10000000.0,0.0,0.0,0.0,0.0
2022-08-11,10000000.0,0.0,0.0,0.0,0.0
2022-08-12,10000000.0,0.0,0.0,0.0,0.0
2022-08-15,10000000.0,0.0,0.0,0.0,0.0
2022-08-16,10000000.0,0.0,0.0,0.0,0.0
2022-08-17,10000000.0,0.0,0.0,0.0,0.0
2022-08-18,10000000.0,0.0,0.0,0.0,0.0
2022-08-19,10000000.0,0.0,0.0,0.0,0.0
2022-08-22,10002135.64,0.0,0.0,2135.6400000008725,0.00021356400000005493
2022-08-23,10026063.064,0.0,0.0,23927.423999999126,0.0023922315054707433
2022-08-24,10031103.064,0.0,0.0,5039.999999999767,0.0005026898362625598
2022-08-25,10031583.064,0.0,0.0,479.99999999956344,4.785116820538171e-05
2022-08-26,10029903.064,-1680.0,-0.00016747107503191185,-1679.9999999995634,-0.00016747107503189973
2022-08-29,10028943.064,-2640.0,-0.0002631688321930043,-960.0000000002183,-9.571378645178985e-05
2022-08-30,10033743.064,0.0,0.0,4800.0,0.0004786147422881637
2022-08-31,10025823.064,-7920.0,-0.0007893365366725521,-7920.000000000466,-0.0007893365366725691
2022-09-01,10028223.064,-5520.0,-0.0005501436467717787,2400.0000000010914,0.00023938184273553098
2022-09-02,10030383.064,-3360.0,-0.0003348700458610827,2159.999999999127,0.00021539209750476296
2022-09-05,10022703.064,-11040.0,-0.0011002872935435574,-7679.999999999563,-0.000765673648852383
2022-09-06,10022223.064,-11520.0,-0.001148125871523712,-479.99999999956344,-4.7891272138333996e-05
2022-09-07,10025583.064,-8160.0,-0.0008132558256626293,3359.999999999127,0.00033525496075514916
2022-09-08,10027743.064,-6000.0,-0.0005979822247519334,2160.0000000002183,0.00021544881591539777
2022-09-09,10015743.064,-18000.0,-0.0017939466742558,-12000.0,-0.0011966800428981905
2022-09-13,10024623.064,-9120.0,-0.0009089329816229387,8879.999999999563,0.0008866042133126584
2022-09-14,10042449.736,0.0,0.0,17826.67200000088,0.0017782885088237776
2022-09-15,10060154.36,0.0,0.0,17704.62400000001,0.00176297860237562
2022-09-16,10067296.712000001,0.0,0.0,7142.35200000077,0.00070996445426319
2022-09-19,10067296.712000001,0.0,0.0,0.0,0.0
