datetime,IM2209.CFFEX,IM2212.CFFEX,IM2303.CFFEX,IM2306.CFFEX,IM2309.CFFEX,IM2312.CFFEX,IM2403.CFFEX,IM2406.CFFEX,IM2409.CFFEX,IM2412.CFFEX,IM2503.CFFEX,IM2506.CFFEX,IM2509.CFFEX,IM2512.CFFEX,IM2603.CFFEX,IM2606.CFFEX,IM2609.CFFEX
2022-07-25,,,,,,,,,,,,,,,,,
2022-07-26,,,,,,,,,,,,,,,,,
2022-07-27,,,,,,,,,,,,,,,,,
2022-07-28,,,,,,,,,,,,,,,,,
2022-07-29,,,,,,,,,,,,,,,,,
2022-08-01,,,,,,,,,,,,,,,,,
2022-08-02,,,,,,,,,,,,,,,,,
2022-08-03,,,,,,,,,,,,,,,,,
2022-08-04,,,,,,,,,,,,,,,,,
2022-08-05,,,,,,,,,,,,,,,,,
2022-08-08,,,,,,,,,,,,,,,,,
2022-08-09,,,,,,,,,,,,,,,,,
2022-08-10,,,,,,,,,,,,,,,,,
2022-08-11,,,,,,,,,,,,,,,,,
2022-08-12,,,,,,,,,,,,,,,,,
2022-08-15,,,,,,,,,,,,,,,,,
2022-08-16,,,,,,,,,,,,,,,,,
2022-08-17,,,,,,,,,,,,,,,,,
2022-08-18,,,,,,,,,,,,,,,,,
2022-08-19,7186.4,7036.2,,,,,,,,,,,,,,,
2022-08-22,7232.4,7079.0,,,,,,,,,,,,,,,
2022-08-23,7232.4,7079.0,,,,,,,,,,,,,,,
2022-08-24,7232.4,7079.0,,,,,,,,,,,,,,,
2022-08-25,7232.4,7079.0,,,,,,,,,,,,,,,
2022-08-26,7232.4,7079.0,,,,,,,,,,,,,,,
2022-08-29,7232.4,7079.0,,,,,,,,,,,,,,,
2022-08-30,7232.4,7079.0,,,,,,,,,,,,,,,
2022-08-31,7232.4,7079.0,,,,,,,,,,,,,,,
2022-09-01,7232.4,7079.0,,,,,,,,,,,,,,,
2022-09-02,7232.4,7079.0,,,,,,,,,,,,,,,
2022-09-05,7232.4,7079.0,,,,,,,,,,,,,,,
2022-09-06,7232.4,7079.0,,,,,,,,,,,,,,,
2022-09-07,7232.4,7079.0,,,,,,,,,,,,,,,
2022-09-08,7232.4,7079.0,,,,,,,,,,,,,,,
2022-09-09,7232.4,7079.0,,,,,,,,,,,,,,,
2022-09-13,6891.4,6732.0,,,,,,,,,,,,,,,
2022-09-14,6826.0,6663.0,,,,,,,,,,,,,,,
2022-09-15,6596.4,6410.0,,,,,,,,,,,,,,,
2022-09-16,6596.4,6410.0,,,,,,,,,,,,,,,
2022-09-19,6596.4,6410.0,,,,,,,,,,,,,,,
2022-09-20,6596.4,6410.0,,,,,,,,,,,,,,,
2022-09-21,6596.4,6410.0,,,,,,,,,,,,,,,
2022-09-22,6596.4,6410.0,,,,,,,,,,,,,,,
2022-09-23,6596.4,6410.0,,,,,,,,,,,,,,,
2022-09-26,6596.4,6410.0,,,,,,,,,,,,,,,
2022-09-27,6596.4,6410.0,,,,,,,,,,,,,,,
2022-09-28,6596.4,6410.0,,,,,,,,,,,,,,,
2022-09-29,6596.4,6410.0,,,,,,,,,,,,,,,
2022-09-30,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-10,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-11,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-12,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-13,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-14,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-17,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-18,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-19,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-20,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-21,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-24,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-25,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-26,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-27,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-28,6596.4,6410.0,,,,,,,,,,,,,,,
2022-10-31,6596.4,6410.0,,,,,,,,,,,,,,,
2022-11-01,6596.4,6410.0,,,,,,,,,,,,,,,
2022-11-02,6596.4,6410.0,,,,,,,,,,,,,,,
2022-11-03,6596.4,6410.0,,,,,,,,,,,,,,,
2022-11-04,6596.4,6410.0,,,,,,,,,,,,,,,
2022-11-07,6596.4,6410.0,,,,,,,,,,,,,,,
2022-11-08,6596.4,6410.0,,,,,,,,,,,,,,,
2022-11-09,6596.4,6410.0,,,,,,,,,,,,,,,
2022-11-10,6596.4,6410.0,,,,,,,,,,,,,,,
