vt_symbol,entry_dt,exit_dt,entry_price,exit_price,pnl_approx
IC2209.CFFEX,2022-08-05,2022-09-13,6220.0,6292.6,580.8000000000029
IC2212.CFFEX,2022-08-05,2022-09-13,6125.4,6207.0,-652.8000000000029
IC2212.CFFEX,2022-11-08,2022-11-29,6142.8,6172.8,240.0
IC2303.CFFEX,2022-11-08,2022-11-29,6091.0,6153.4,-499.1999999999971
IC2309.CFFEX,2023-08-29,2023-09-11,5771.2,5760.0,-89.59999999999854
IC2312.CFFEX,2023-08-29,2023-09-11,5771.4,5749.0,179.1999999999971
IC2312.CFFEX,2023-11-08,2023-11-20,5587.8,5633.0,361.59999999999854
IC2403.CFFEX,2023-11-08,2023-11-20,5570.2,5595.8,-204.8000000000029
IC2403.CFFEX,2024-02-01,2024-03-11,4596.0,5456.2,8601.999999999998
IC2406.CFFEX,2024-02-01,2024-03-11,4488.0,5376.0,-8880.0
IC2406.CFFEX,2024-05-06,2024-05-30,5496.4,5287.0,-1884.5999999999967
IC2406.CFFEX,2024-06-04,2024-06-05,5307.2,5247.6,-536.3999999999951
IC2409.CFFEX,2024-05-06,2024-05-30,5448.4,5227.4,1989.0
IC2409.CFFEX,2024-06-04,2024-06-05,5242.2,5184.0,523.7999999999984
IC2409.CFFEX,2024-08-01,2024-08-28,4821.2,4483.0,-3381.999999999998
IC2409.CFFEX,2024-08-29,2024-09-13,4547.2,4444.8,-1023.9999999999964
IC2412.CFFEX,2024-08-01,2024-08-28,4761.8,4426.0,3358.000000000002
IC2412.CFFEX,2024-08-29,2024-09-13,4491.6,4376.6,1150.0
IC2412.CFFEX,2024-11-01,2024-12-16,5821.0,5908.0,696.0
IC2503.CFFEX,2024-11-01,2024-12-16,5769.6,5828.2,-468.79999999999563
IC2503.CFFEX,2025-02-05,2025-03-17,5567.8,6083.0,4121.5999999999985
IC2506.CFFEX,2025-02-05,2025-03-17,5470.4,5938.0,-3740.800000000003
IC2509.CFFEX,2025-08-14,2025-09-15,6380.2,7114.2,5138.0
IC2512.CFFEX,2025-08-14,2025-09-15,6243.0,6939.4,-4874.799999999997
IC2512.CFFEX,2025-11-03,2025-12-15,7239.6,7115.8,-742.8000000000011
IC2603.CFFEX,2025-11-03,2025-12-15,7081.4,6940.8,843.5999999999967
IC2603.CFFEX,2026-02-02,2026-03-11,7903.2,8360.0,2740.800000000001
IC2606.CFFEX,2026-02-02,2026-03-11,7765.2,8199.4,-2605.199999999999
IC2606.CFFEX,2026-05-06,2026-06-15,8497.6,8384.8,-564.0000000000055
IC2609.CFFEX,2026-05-06,2026-06-15,8367.2,8206.6,803.0000000000018
