datetime,vt_symbol,prev_pos,curr_pos,change,direction,price
2022-08-05,IC2209.CFFEX,0,8,8,BUY,6220.0
2022-08-05,IC2212.CFFEX,0,-8,-8,SELL,6125.4
2022-09-13,IC2209.CFFEX,8,0,-8,SELL,6292.6
2022-09-13,IC2212.CFFEX,-8,0,8,BUY,6207.0
2022-11-08,IC2212.CFFEX,0,8,8,BUY,6142.8
2022-11-08,IC2303.CFFEX,0,-8,-8,SELL,6091.0
2022-11-29,IC2212.CFFEX,8,0,-8,SELL,6172.8
2022-11-29,IC2303.CFFEX,-8,0,8,BUY,6153.4
2023-08-29,IC2309.CFFEX,0,8,8,BUY,5771.2
2023-08-29,IC2312.CFFEX,0,-8,-8,SELL,5771.4
2023-09-11,IC2309.CFFEX,8,0,-8,SELL,5760.0
2023-09-11,IC2312.CFFEX,-8,0,8,BUY,5749.0
2023-11-08,IC2312.CFFEX,0,8,8,BUY,5587.8
2023-11-08,IC2403.CFFEX,0,-8,-8,SELL,5570.2
2023-11-20,IC2312.CFFEX,8,0,-8,SELL,5633.0
2023-11-20,IC2403.CFFEX,-8,0,8,BUY,5595.8
2024-02-01,IC2403.CFFEX,0,10,10,BUY,4596.0
2024-02-01,IC2406.CFFEX,0,-10,-10,SELL,4488.0
2024-03-11,IC2403.CFFEX,10,0,-10,SELL,5456.2
2024-03-11,IC2406.CFFEX,-10,0,10,BUY,5376.0
2024-05-06,IC2406.CFFEX,0,9,9,BUY,5496.4
2024-05-06,IC2409.CFFEX,0,-9,-9,SELL,5448.4
2024-05-30,IC2406.CFFEX,9,0,-9,SELL,5287.0
2024-05-30,IC2409.CFFEX,-9,0,9,BUY,5227.4
2024-06-04,IC2406.CFFEX,0,9,9,BUY,5307.2
2024-06-04,IC2409.CFFEX,0,-9,-9,SELL,5242.2
2024-06-05,IC2406.CFFEX,9,0,-9,SELL,5247.6
2024-06-05,IC2409.CFFEX,-9,0,9,BUY,5184.0
2024-08-01,IC2409.CFFEX,0,10,10,BUY,4821.2
2024-08-01,IC2412.CFFEX,0,-10,-10,SELL,4761.8
2024-08-28,IC2409.CFFEX,10,0,-10,SELL,4483.0
2024-08-28,IC2412.CFFEX,-10,0,10,BUY,4426.0
2024-08-29,IC2409.CFFEX,0,10,10,BUY,4547.2
2024-08-29,IC2412.CFFEX,0,-10,-10,SELL,4491.6
2024-09-13,IC2409.CFFEX,10,0,-10,SELL,4444.8
2024-09-13,IC2412.CFFEX,-10,0,10,BUY,4376.6
2024-11-01,IC2412.CFFEX,0,8,8,BUY,5821.0
2024-11-01,IC2503.CFFEX,0,-8,-8,SELL,5769.6
2024-12-16,IC2412.CFFEX,8,0,-8,SELL,5908.0
2024-12-16,IC2503.CFFEX,-8,0,8,BUY,5828.2
2025-02-05,IC2503.CFFEX,0,8,8,BUY,5567.8
2025-02-05,IC2506.CFFEX,0,-8,-8,SELL,5470.4
2025-03-17,IC2503.CFFEX,8,0,-8,SELL,6083.0
2025-03-17,IC2506.CFFEX,-8,0,8,BUY,5938.0
2025-08-14,IC2509.CFFEX,0,7,7,BUY,6380.2
2025-08-14,IC2512.CFFEX,0,-7,-7,SELL,6243.0
2025-09-15,IC2509.CFFEX,7,0,-7,SELL,7114.2
2025-09-15,IC2512.CFFEX,-7,0,7,BUY,6939.4
2025-11-03,IC2512.CFFEX,0,6,6,BUY,7239.6
2025-11-03,IC2603.CFFEX,0,-6,-6,SELL,7081.4
2025-12-15,IC2512.CFFEX,6,0,-6,SELL,7115.8
2025-12-15,IC2603.CFFEX,-6,0,6,BUY,6940.8
2026-02-02,IC2603.CFFEX,0,6,6,BUY,7903.2
2026-02-02,IC2606.CFFEX,0,-6,-6,SELL,7765.2
2026-03-11,IC2603.CFFEX,6,0,-6,SELL,8360.0
2026-03-11,IC2606.CFFEX,-6,0,6,BUY,8199.4
2026-05-06,IC2606.CFFEX,0,5,5,BUY,8497.6
2026-05-06,IC2609.CFFEX,0,-5,-5,SELL,8367.2
2026-06-15,IC2606.CFFEX,5,0,-5,SELL,8384.8
2026-06-15,IC2609.CFFEX,-5,0,5,BUY,8206.6
