vt_symbol,entry_dt,exit_dt,entry_price,exit_price,pnl_approx
IM2209.CFFEX,2022-08-19,2022-09-13,7186.4,6891.4,-1770.0
IM2209.CFFEX,2022-09-14,2022-09-15,6826.0,6596.4,-1607.2000000000025
IM2212.CFFEX,2022-08-19,2022-09-13,7036.2,6732.0,1825.199999999999
IM2212.CFFEX,2022-09-14,2022-09-15,6663.0,6410.0,1771.0
IM2212.CFFEX,2022-11-16,2022-12-09,6684.2,6684.8,4.200000000002547
IM2303.CFFEX,2022-11-16,2022-12-09,6607.4,6586.8,144.19999999999618
IM2303.CFFEX,2023-03-07,2023-03-08,6846.8,6871.0,169.39999999999873
IM2306.CFFEX,2023-03-07,2023-03-08,6746.2,6766.0,-138.60000000000127
IM2306.CFFEX,2023-05-23,2023-05-24,6513.0,6497.0,-112.0
IM2309.CFFEX,2023-05-23,2023-05-24,6469.4,6450.4,133.0
IM2309.CFFEX,2023-08-29,2023-09-11,6099.2,6165.0,526.4000000000015
IM2312.CFFEX,2023-08-29,2023-09-11,6092.0,6144.6,-420.8000000000029
IM2312.CFFEX,2023-11-13,2023-11-20,6092.2,6213.8,972.8000000000029
IM2312.CFFEX,2023-11-21,2023-12-01,6161.8,6092.2,-556.8000000000029
IM2403.CFFEX,2023-11-13,2023-11-20,6039.6,6128.2,-708.7999999999956
IM2403.CFFEX,2023-11-21,2023-12-01,6084.0,5997.6,691.1999999999971
IM2403.CFFEX,2024-02-05,2024-02-06,4044.6,4568.4,6285.599999999997
IM2403.CFFEX,2024-02-07,2024-03-11,4793.0,5463.0,6700.0
IM2406.CFFEX,2024-02-05,2024-02-06,3922.6,4454.0,-6376.800000000001
IM2406.CFFEX,2024-02-07,2024-03-11,4715.0,5319.6,-6046.000000000004
IM2406.CFFEX,2024-05-06,2024-06-17,5548.6,5173.8,-3373.2000000000016
IM2409.CFFEX,2024-05-06,2024-06-17,5461.8,5044.0,3760.2000000000016
IM2409.CFFEX,2024-08-13,2024-09-18,4639.0,4405.0,-2340.0
IM2412.CFFEX,2024-08-13,2024-09-18,4539.4,4290.6,2487.9999999999927
IM2412.CFFEX,2024-11-01,2024-12-16,5890.0,6263.4,2987.199999999997
IM2503.CFFEX,2024-11-01,2024-12-16,5809.0,6142.0,-2664.0
IM2503.CFFEX,2025-02-11,2025-03-17,6133.2,6543.4,3281.5999999999985
IM2503.CFFEX,2025-03-18,2025-03-19,6577.0,6550.0,-189.0
IM2506.CFFEX,2025-02-11,2025-03-17,6005.6,6337.6,-2656.0
IM2506.CFFEX,2025-03-18,2025-03-19,6369.4,6339.2,211.39999999999873
IM2506.CFFEX,2025-05-06,2025-05-22,5953.2,5950.0,-25.599999999998545
IM2506.CFFEX,2025-05-29,2025-06-12,6031.0,6156.8,1006.4000000000015
IM2509.CFFEX,2025-05-06,2025-05-22,5774.0,5708.2,526.4000000000015
IM2509.CFFEX,2025-05-29,2025-06-12,5785.2,5896.6,-891.2000000000044
IM2509.CFFEX,2025-08-14,2025-09-15,6929.2,7368.6,3075.800000000004
IM2512.CFFEX,2025-08-14,2025-09-15,6755.0,7143.2,-2717.3999999999987
IM2512.CFFEX,2025-11-03,2025-11-18,7398.0,7351.8,-277.1999999999989
IM2512.CFFEX,2025-11-21,2025-12-15,7018.2,7308.0,2028.6000000000013
IM2603.CFFEX,2025-11-03,2025-11-18,7193.0,7116.8,457.1999999999989
IM2603.CFFEX,2025-11-21,2025-12-15,6802.8,7073.0,-1891.3999999999987
IM2603.CFFEX,2026-02-02,2026-03-13,7871.8,8187.0,1891.199999999999
IM2606.CFFEX,2026-02-02,2026-03-13,7701.6,7951.2,-1497.5999999999967
IM2606.CFFEX,2026-05-06,2026-06-15,8461.6,8475.2,68.00000000000182
IM2609.CFFEX,2026-05-06,2026-06-15,8268.2,8244.6,118.00000000000182
