datetime,vt_symbol,prev_pos,curr_pos,change,direction,price
2022-08-19,IM2209.CFFEX,0,6,6,BUY,7186.4
2022-08-19,IM2212.CFFEX,0,-6,-6,SELL,7036.2
2022-09-13,IM2209.CFFEX,6,0,-6,SELL,6891.4
2022-09-13,IM2212.CFFEX,-6,0,6,BUY,6732.0
2022-09-14,IM2209.CFFEX,0,7,7,BUY,6826.0
2022-09-14,IM2212.CFFEX,0,-7,-7,SELL,6663.0
2022-09-15,IM2209.CFFEX,7,0,-7,SELL,6596.4
2022-09-15,IM2212.CFFEX,-7,0,7,BUY,6410.0
2022-11-16,IM2212.CFFEX,0,7,7,BUY,6684.2
2022-11-16,IM2303.CFFEX,0,-7,-7,SELL,6607.4
2022-12-09,IM2212.CFFEX,7,0,-7,SELL,6684.8
2022-12-09,IM2303.CFFEX,-7,0,7,BUY,6586.8
2023-03-07,IM2303.CFFEX,0,7,7,BUY,6846.8
2023-03-07,IM2306.CFFEX,0,-7,-7,SELL,6746.2
2023-03-08,IM2303.CFFEX,7,0,-7,SELL,6871.0
2023-03-08,IM2306.CFFEX,-7,0,7,BUY,6766.0
2023-05-23,IM2306.CFFEX,0,7,7,BUY,6513.0
2023-05-23,IM2309.CFFEX,0,-7,-7,SELL,6469.4
2023-05-24,IM2306.CFFEX,7,0,-7,SELL,6497.0
2023-05-24,IM2309.CFFEX,-7,0,7,BUY,6450.4
2023-08-29,IM2309.CFFEX,0,8,8,BUY,6099.2
2023-08-29,IM2312.CFFEX,0,-8,-8,SELL,6092.0
2023-09-11,IM2309.CFFEX,8,0,-8,SELL,6165.0
2023-09-11,IM2312.CFFEX,-8,0,8,BUY,6144.6
2023-11-13,IM2312.CFFEX,0,8,8,BUY,6092.2
2023-11-13,IM2403.CFFEX,0,-8,-8,SELL,6039.6
2023-11-20,IM2312.CFFEX,8,0,-8,SELL,6213.8
2023-11-20,IM2403.CFFEX,-8,0,8,BUY,6128.2
2023-11-21,IM2312.CFFEX,0,8,8,BUY,6161.8
2023-11-21,IM2403.CFFEX,0,-8,-8,SELL,6084.0
2023-12-01,IM2312.CFFEX,8,0,-8,SELL,6092.2
2023-12-01,IM2403.CFFEX,-8,0,8,BUY,5997.6
2024-02-05,IM2403.CFFEX,0,12,12,BUY,4044.6
2024-02-05,IM2406.CFFEX,0,-12,-12,SELL,3922.6
2024-02-06,IM2403.CFFEX,12,0,-12,SELL,4568.4
2024-02-06,IM2406.CFFEX,-12,0,12,BUY,4454.0
2024-02-07,IM2403.CFFEX,0,10,10,BUY,4793.0
2024-02-07,IM2406.CFFEX,0,-10,-10,SELL,4715.0
2024-03-11,IM2403.CFFEX,10,0,-10,SELL,5463.0
2024-03-11,IM2406.CFFEX,-10,0,10,BUY,5319.6
2024-05-06,IM2406.CFFEX,0,9,9,BUY,5548.6
2024-05-06,IM2409.CFFEX,0,-9,-9,SELL,5461.8
2024-06-17,IM2406.CFFEX,9,0,-9,SELL,5173.8
2024-06-17,IM2409.CFFEX,-9,0,9,BUY,5044.0
2024-08-13,IM2409.CFFEX,0,10,10,BUY,4639.0
2024-08-13,IM2412.CFFEX,0,-10,-10,SELL,4539.4
2024-09-18,IM2409.CFFEX,10,0,-10,SELL,4405.0
2024-09-18,IM2412.CFFEX,-10,0,10,BUY,4290.6
2024-11-01,IM2412.CFFEX,0,8,8,BUY,5890.0
2024-11-01,IM2503.CFFEX,0,-8,-8,SELL,5809.0
2024-12-16,IM2412.CFFEX,8,0,-8,SELL,6263.4
2024-12-16,IM2503.CFFEX,-8,0,8,BUY,6142.0
2025-02-11,IM2503.CFFEX,0,8,8,BUY,6133.2
2025-02-11,IM2506.CFFEX,0,-8,-8,SELL,6005.6
2025-03-17,IM2503.CFFEX,8,0,-8,SELL,6543.4
2025-03-17,IM2506.CFFEX,-8,0,8,BUY,6337.6
2025-03-18,IM2503.CFFEX,0,7,7,BUY,6577.0
2025-03-18,IM2506.CFFEX,0,-7,-7,SELL,6369.4
2025-03-19,IM2503.CFFEX,7,0,-7,SELL,6550.0
2025-03-19,IM2506.CFFEX,-7,0,7,BUY,6339.2
2025-05-06,IM2506.CFFEX,0,8,8,BUY,5953.2
2025-05-06,IM2509.CFFEX,0,-8,-8,SELL,5774.0
2025-05-22,IM2506.CFFEX,8,0,-8,SELL,5950.0
2025-05-22,IM2509.CFFEX,-8,0,8,BUY,5708.2
2025-05-29,IM2506.CFFEX,0,8,8,BUY,6031.0
2025-05-29,IM2509.CFFEX,0,-8,-8,SELL,5785.2
2025-06-12,IM2506.CFFEX,8,0,-8,SELL,6156.8
2025-06-12,IM2509.CFFEX,-8,0,8,BUY,5896.6
2025-08-14,IM2509.CFFEX,0,7,7,BUY,6929.2
2025-08-14,IM2512.CFFEX,0,-7,-7,SELL,6755.0
2025-09-15,IM2509.CFFEX,7,0,-7,SELL,7368.6
2025-09-15,IM2512.CFFEX,-7,0,7,BUY,7143.2
2025-11-03,IM2512.CFFEX,0,6,6,BUY,7398.0
2025-11-03,IM2603.CFFEX,0,-6,-6,SELL,7193.0
2025-11-18,IM2512.CFFEX,6,0,-6,SELL,7351.8
2025-11-18,IM2603.CFFEX,-6,0,6,BUY,7116.8
2025-11-21,IM2512.CFFEX,0,7,7,BUY,7018.2
2025-11-21,IM2603.CFFEX,0,-7,-7,SELL,6802.8
2025-12-15,IM2512.CFFEX,7,0,-7,SELL,7308.0
2025-12-15,IM2603.CFFEX,-7,0,7,BUY,7073.0
2026-02-02,IM2603.CFFEX,0,6,6,BUY,7871.8
2026-02-02,IM2606.CFFEX,0,-6,-6,SELL,7701.6
2026-03-13,IM2603.CFFEX,6,0,-6,SELL,8187.0
2026-03-13,IM2606.CFFEX,-6,0,6,BUY,7951.2
