product,vol_threshold,total_pnl,total_return,annual_return,max_dd,sharpe,calmar,win_rate,profit_days,loss_days,days,vol_threshold_pct
IF,0.15,106528.61,0.010652860800000052,0.002872939805825257,-0.039548827823680854,0.15853133731405003,0.07264285603187996,0.5454545454545454,90,75,927,15%
IF,0.2,69442.04,0.006944204399999876,0.0031000912499999445,-0.004195886294668248,0.5756376970415892,0.7388406244323777,0.5263157894736842,30,27,560,20%
IF,0.25,87599.34,0.00875993399999997,0.003910684821428557,-0.004192922349694477,0.690193039251178,0.9326871559435186,0.40625,13,19,560,25%
IF,0.3,-11492.45,-0.0011492447999998934,-0.0012941945945944746,-0.003258305571383043,-0.3687110948345619,-0.39719865624669815,0.25,1,3,222,30%
IC,0.15,196771.79,0.019677178800000306,0.005113611954262034,-0.015948222753929247,0.48035220749616697,0.3206383578384724,0.5570469798657718,166,132,962,15%
IC,0.2,-2968.41,-0.00029684120000028624,-8.452198177684687e-05,-0.019570405220637348,-0.003180095333151534,-0.004318867229571563,0.5284090909090909,93,83,878,20%
IC,0.25,9832.18,0.00098321800000023,0.0003413951388889687,-0.014759421271737044,0.04071287807481507,0.0231306588926159,0.5555555555555556,45,36,720,25%
IC,0.3,-23476.49,-0.002347648800000157,-0.0009405644230769861,-0.013537180136951783,-0.08951895948294009,-0.06948008474154621,0.5319148936170213,25,22,624,30%
IM,0.15,1114012.98,0.11140129839999968,0.028950441372141287,-0.005325562284544771,2.7367772591705166,5.436128586113413,0.6402439024390244,210,118,962,15%
IM,0.2,724994.24,0.07249942440000035,0.018840806756756846,-0.00467513072698633,2.119345728161928,4.03000640131874,0.6338028169014085,135,78,962,20%
IM,0.25,436072.41,0.04360724080000011,0.012647111600928107,-0.0029017463999999687,1.6434086757007886,4.3584482782259135,0.6111111111111112,66,42,862,25%
IM,0.3,329834.67,0.03298346720000023,0.011712878977272809,-0.005404688979652201,1.5226663982387758,2.167169844808822,0.6933333333333334,52,23,704,30%
