datetime,balance,drawdown,ddpercent,net_pnl,return
2022-07-25,10000000.0,0.0,0.0,0.0,0.0
2022-07-26,10000000.0,0.0,0.0,0.0,0.0
2022-07-27,10000000.0,0.0,0.0,0.0,0.0
2022-07-28,10000000.0,0.0,0.0,0.0,0.0
2022-07-29,10000000.0,0.0,0.0,0.0,0.0
2022-08-01,10000000.0,0.0,0.0,0.0,0.0
2022-08-02,10000000.0,0.0,0.0,0.0,0.0
2022-08-03,10000000.0,0.0,0.0,0.0,0.0
2022-08-04,10000000.0,0.0,0.0,0.0,0.0
2022-08-05,10000000.0,0.0,0.0,0.0,0.0
2022-08-08,10020747.488,0.0,0.0,20747.487999999714,0.002074748799999915
2022-08-09,10037962.208,0.0,0.0,17214.72,0.0017179077729096992
2022-08-10,10037962.208,0.0,0.0,0.0,0.0
2022-08-11,10037962.208,0.0,0.0,0.0,0.0
2022-08-12,10037962.208,0.0,0.0,0.0,0.0
2022-08-15,10037962.208,0.0,0.0,0.0,0.0
2022-08-16,10037962.208,0.0,0.0,0.0,0.0
2022-08-17,10037962.208,0.0,0.0,0.0,0.0
2022-08-18,10037962.208,0.0,0.0,0.0,0.0
2022-08-19,10037962.208,0.0,0.0,0.0,0.0
2022-08-22,10037962.208,0.0,0.0,0.0,0.0
2022-08-23,10037962.208,0.0,0.0,0.0,0.0
2022-08-24,10037962.208,0.0,0.0,0.0,0.0
2022-08-25,10037962.208,0.0,0.0,0.0,0.0
2022-08-26,10037962.208,0.0,0.0,0.0,0.0
2022-08-29,10037962.208,0.0,0.0,0.0,0.0
2022-08-30,10037962.208,0.0,0.0,0.0,0.0
2022-08-31,10037962.208,0.0,0.0,0.0,0.0
2022-09-01,10037962.208,0.0,0.0,0.0,0.0
2022-09-02,10037962.208,0.0,0.0,0.0,0.0
2022-09-05,10037962.208,0.0,0.0,0.0,0.0
2022-09-06,10037962.208,0.0,0.0,0.0,0.0
2022-09-07,10037962.208,0.0,0.0,0.0,0.0
2022-09-08,10037962.208,0.0,0.0,0.0,0.0
2022-09-09,10037962.208,0.0,0.0,0.0,0.0
2022-09-13,10037962.208,0.0,0.0,0.0,0.0
2022-09-14,10037962.208,0.0,0.0,0.0,0.0
2022-09-15,10037962.208,0.0,0.0,0.0,0.0
2022-09-16,10037962.208,0.0,0.0,0.0,0.0
2022-09-19,10037962.208,0.0,0.0,0.0,0.0
2022-09-20,10037962.208,0.0,0.0,0.0,0.0
2022-09-21,10037962.208,0.0,0.0,0.0,0.0
2022-09-22,10037962.208,0.0,0.0,0.0,0.0
2022-09-23,10037962.208,0.0,0.0,0.0,0.0
2022-09-26,10037962.208,0.0,0.0,0.0,0.0
2022-09-27,10037962.208,0.0,0.0,0.0,0.0
2022-09-28,10037962.208,0.0,0.0,0.0,0.0
2022-09-29,10037962.208,0.0,0.0,0.0,0.0
2022-09-30,10037962.208,0.0,0.0,0.0,0.0
2022-10-10,10037962.208,0.0,0.0,0.0,0.0
