datetime,balance,drawdown,ddpercent,net_pnl,return
2025-01-20,10000000.0,0.0,0.0,0.0,0.0
2025-01-21,10000000.0,0.0,0.0,0.0,0.0
2025-01-22,10000000.0,0.0,0.0,0.0,0.0
2025-01-23,10000000.0,0.0,0.0,0.0,0.0
2025-01-24,10000000.0,0.0,0.0,0.0,0.0
2025-01-27,10000000.0,0.0,0.0,0.0,0.0
2025-02-05,10000000.0,0.0,0.0,0.0,0.0
2025-02-06,10000000.0,0.0,0.0,0.0,0.0
2025-02-07,10000000.0,0.0,0.0,0.0,0.0
2025-02-10,10000000.0,0.0,0.0,0.0,0.0
2025-02-11,10000000.0,0.0,0.0,0.0,0.0
2025-02-12,10000000.0,0.0,0.0,0.0,0.0
2025-02-13,10000000.0,0.0,0.0,0.0,0.0
2025-02-14,10000000.0,0.0,0.0,0.0,0.0
2025-02-17,10000000.0,0.0,0.0,0.0,0.0
2025-02-18,10000000.0,0.0,0.0,0.0,0.0
2025-02-19,10000000.0,0.0,0.0,0.0,0.0
2025-02-20,10000000.0,0.0,0.0,0.0,0.0
2025-02-21,10000000.0,0.0,0.0,0.0,0.0
2025-02-24,10000000.0,0.0,0.0,0.0,0.0
2025-02-25,10000000.0,0.0,0.0,0.0,0.0
2025-02-26,10000000.0,0.0,0.0,0.0,0.0
2025-02-27,10000000.0,0.0,0.0,0.0,0.0
2025-02-28,10000000.0,0.0,0.0,0.0,0.0
2025-03-03,10000000.0,0.0,0.0,0.0,0.0
2025-03-04,10000000.0,0.0,0.0,0.0,0.0
2025-03-05,10000000.0,0.0,0.0,0.0,0.0
2025-03-06,10000000.0,0.0,0.0,0.0,0.0
2025-03-07,10000000.0,0.0,0.0,0.0,0.0
2025-03-10,10000000.0,0.0,0.0,0.0,0.0
2025-03-11,10000000.0,0.0,0.0,0.0,0.0
2025-03-12,10000000.0,0.0,0.0,0.0,0.0
2025-03-13,10000000.0,0.0,0.0,0.0,0.0
2025-03-14,10000000.0,0.0,0.0,0.0,0.0
2025-03-17,10000000.0,0.0,0.0,0.0,0.0
2025-03-18,10000000.0,0.0,0.0,0.0,0.0
2025-03-19,10000000.0,0.0,0.0,0.0,0.0
