pair,near_symbol,far_symbol,start_date,end_date,days,mean_spread,std_spread,min_spread,max_spread,last_spread,mean_spread_pct,std_spread_pct,min_spread_pct,max_spread_pct,last_spread_pct,spread_vol_annual,last_zscore
IM2209-IM2212,IM2209,IM2212,2022-07-22,2022-09-16,40,161.38,17.0,138.0,256.4,256.4,2.3191,0.295,1.9986,3.9269,3.9269,209.96,5.589
IM2212-IM2303,IM2212,IM2303,2022-07-22,2022-12-16,100,124.57,31.84,39.0,169.0,39.0,1.8885,0.4728,0.5986,2.5069,0.5986,152.38,-2.688
IM2303-IM2306,IM2303,IM2306,2022-10-24,2023-03-17,99,105.4,12.74,73.8,145.0,84.8,1.5983,0.2235,1.2045,2.3464,1.2566,91.28,-1.617
IM2306-IM2309,IM2306,IM2309,2023-01-30,2023-06-16,96,80.76,21.25,43.6,128.2,67.8,1.1972,0.302,0.6694,1.9371,1.0172,86.59,-0.61
IM2309-IM2312,IM2309,IM2312,2023-04-24,2023-09-15,100,38.32,18.62,3.4,94.4,22.8,0.5926,0.281,0.0555,1.4281,0.3758,84.25,-0.833
IM2312-IM2403,IM2312,IM2403,2023-07-24,2023-12-15,99,39.68,30.0,3.6,126.0,111.2,0.6529,0.4974,0.0603,2.1008,1.867,99.49,2.384
IM2403-IM2406,IM2403,IM2406,2023-10-23,2024-03-15,98,92.72,26.13,36.8,143.4,71.0,1.7033,0.5747,0.663,3.0164,1.2883,170.09,-0.831
IM2406-IM2409,IM2406,IM2409,2024-01-22,2024-06-21,98,99.84,17.26,31.2,140.2,140.2,1.9228,0.3201,0.6754,2.7711,2.7711,110.87,2.339
IM2409-IM2412,IM2409,IM2412,2024-04-22,2024-09-20,104,89.98,13.23,67.2,114.4,100.6,1.8795,0.3813,1.2304,2.597,2.2618,66.74,0.803
IM2412-IM2503,IM2412,IM2503,2024-07-22,2024-12-20,103,91.57,15.08,64.8,137.2,137.2,1.7391,0.2728,1.0477,2.2374,2.1853,79.13,3.025
IM2503-IM2506,IM2503,IM2506,2024-10-21,2025-03-21,103,134.98,33.6,85.8,236.8,236.8,2.2111,0.4733,1.4932,3.6918,3.6918,94.73,3.031
IM2506-IM2509,IM2506,IM2509,2025-01-20,2025-06-20,99,177.99,45.66,107.2,260.6,227.2,2.9711,0.7463,1.8857,4.3072,3.7772,93.75,1.078
IM2509-IM2512,IM2509,IM2512,2025-04-21,2025-09-19,106,175.26,24.1,124.8,257.2,257.2,2.7511,0.2983,2.0264,3.4533,3.4533,98.82,3.4
IM2512-IM2603,IM2512,IM2603,2025-07-21,2025-12-19,104,201.57,26.74,153.4,248.4,193.4,2.8344,0.3002,2.1206,3.3698,2.6366,90.83,-0.305
IM2603-IM2606,IM2603,IM2606,2025-10-20,2026-03-20,102,210.39,33.86,116.8,316.2,316.2,2.7941,0.5765,1.4139,4.0146,4.0146,186.51,3.125
IM2606-IM2609,IM2606,IM2609,2026-01-19,2026-06-22,100,205.8,26.67,145.2,256.0,250.0,2.5379,0.3418,1.7595,3.0598,2.8493,126.07,1.657
IM2609-IM2612,IM2609,IM2612,2026-04-20,2026-07-21,63,216.73,24.7,179.4,269.6,193.0,2.662,0.2941,2.1284,3.1652,2.6939,112.03,-0.961
